class_id,level,proficiency_bonus,class_features,source,version
CLS_BARBARIAN,17,+6,Improved Brutal Strike,PHB (2024),2024
CLS_BARBARIAN,18,+6,Indomitable Might,PHB (2024),2024
CLS_BARBARIAN,19,+6,Epic Boon,PHB (2024),2024
CLS_BARBARIAN,20,+6,Primal Champion,PHB (2024),2024
CLS_BARD,1,+2,"Bardic Inspir ation, SpellcastingD",PHB (2024),2024
CLS_BARD,2,+2,"Exper tise, Jack of All TradesD",PHB (2024),2024
CLS_BARD,3,+2,Bard SubclassD,PHB (2024),2024
CLS_BARD,4,+2,Ability Score ImprovementD,PHB (2024),2024
CLS_BARD,5,+3,Font of Inspir ationD,PHB (2024),2024
CLS_BARD,6,+3,Subclass featureD,PHB (2024),2024
CLS_BARD,7,+3,Counter charm D,PHB (2024),2024
CLS_BARD,8,+3,Ability Score ImprovementD,PHB (2024),2024
CLS_BARD,9,+4,Exper tise D,PHB (2024),2024
CLS_BARD,10,+4,Magical SecretsD,PHB (2024),2024
CLS_BARD,11,+4,- D,PHB (2024),2024
CLS_BARD,12,+4,Ability Score ImprovementD,PHB (2024),2024
CLS_BARD,13,+5,- D,PHB (2024),2024
CLS_BARD,14,+5,Subclass featureD,PHB (2024),2024
CLS_BARD,15,+5,- D,PHB (2024),2024
CLS_BARD,16,+5,Ability Score ImprovementD,PHB (2024),2024
CLS_BARD,17,+6,- D,PHB (2024),2024
CLS_BARD,18,+6,Superior Inspir ationD,PHB (2024),2024
CLS_BARD,19,+6,Epic Boon D,PHB (2024),2024
CLS_BARD,20,+6,Words of CreationD,PHB (2024),2024
CLS_CLERIC,1,+2,"Spellcasting, Divine Order-",PHB (2024),2024
CLS_CLERIC,2,+2,Channel Divinity,PHB (2024),2024
CLS_CLERIC,3,+2,Cleric Subclass,PHB (2024),2024
CLS_CLERIC,4,+2,Ability Score Improvement,PHB (2024),2024
CLS_CLERIC,5,+3,Sear Undead,PHB (2024),2024
CLS_CLERIC,6,+3,Subclass feature,PHB (2024),2024
CLS_CLERIC,7,+3,Blessed Strikes,PHB (2024),2024
CLS_CLERIC,8,+3,Ability Score Improvement,PHB (2024),2024
CLS_CLERIC,9,+4,,PHB (2024),2024
CLS_CLERIC,10,+4,Divine Inter vention,PHB (2024),2024
CLS_CLERIC,11,+4,,PHB (2024),2024
CLS_CLERIC,12,+4,Ability Score Improvement,PHB (2024),2024
CLS_CLERIC,13,+5,,PHB (2024),2024
CLS_CLERIC,14,+5,Improved Blessed Strikes,PHB (2024),2024
CLS_CLERIC,15,+5,,PHB (2024),2024
CLS_CLERIC,16,+5,Ability Score Improvement,PHB (2024),2024
CLS_CLERIC,17,+6,Subclass feature,PHB (2024),2024
CLS_CLERIC,18,+6,,PHB (2024),2024
CLS_CLERIC,19,+6,Epic Boon,PHB (2024),2024
CLS_CLERIC,20,+6,Greater Divine Inter vention,PHB (2024),2024
CLS_DRUID,1,+2,"Spellcasting, Druidic, Primal Order-",PHB (2024),2024
CLS_DRUID,2,+2,"Wild Shape, Wild Companion",PHB (2024),2024
CLS_DRUID,3,+2,Druid Subclass,PHB (2024),2024
CLS_DRUID,4,+2,Ability Score Improvement,PHB (2024),2024
CLS_DRUID,5,+3,Wild Resur gence,PHB (2024),2024
CLS_DRUID,6,+3,Subclass feature,PHB (2024),2024
CLS_DRUID,7,+3,Elemental Fury,PHB (2024),2024
CLS_DRUID,8,+3,Ability Score Improvement,PHB (2024),2024
CLS_DRUID,9,+4,,PHB (2024),2024
CLS_DRUID,10,+4,Subclass feature,PHB (2024),2024
CLS_DRUID,11,+4,,PHB (2024),2024
CLS_DRUID,12,+4,Ability Score Improvement,PHB (2024),2024
CLS_DRUID,13,+5,,PHB (2024),2024
CLS_DRUID,14,+5,Subclass feature,PHB (2024),2024
CLS_DRUID,15,+5,Improved Elemental Fury,PHB (2024),2024
CLS_DRUID,16,+5,Ability Score Improvement,PHB (2024),2024
CLS_DRUID,17,+6,,PHB (2024),2024
CLS_DRUID,18,+6,Beast Spells,PHB (2024),2024
CLS_DRUID,19,+6,Epic Boon,PHB (2024),2024
CLS_DRUID,20,+6,Archdruid,PHB (2024),2024
CLS_FIGHTER,1,+2,"Fighting Style, Second Wind, Weapon Mastery",PHB (2024),2024
CLS_FIGHTER,2,+2,Action Sur ge (oneuse) Tactical Mind,PHB (2024),2024
CLS_FIGHTER,3,+2,Fighter Subclass,PHB (2024),2024
CLS_FIGHTER,4,+2,Ability Score Improvement,PHB (2024),2024
CLS_FIGHTER,5,+3,"Extra Attack, Tactical Shift",PHB (2024),2024
CLS_FIGHTER,6,+3,Ability Score Improvement,PHB (2024),2024
CLS_FIGHTER,7,+3,Subclass feature,PHB (2024),2024
CLS_FIGHTER,8,+3,Ability Score Improvement,PHB (2024),2024
CLS_FIGHTER,9,+4,Indomitable (oneuse) Tactical Master,PHB (2024),2024
CLS_FIGHTER,10,+4,Subclass feature,PHB (2024),2024
CLS_FIGHTER,11,+4,Two Extr a Attacks,PHB (2024),2024
CLS_FIGHTER,12,+4,Ability Score Improvement,PHB (2024),2024
CLS_FIGHTER,13,+5,Indomitable (twouses) Studied Attacks,PHB (2024),2024
CLS_FIGHTER,14,+5,Ability Score Improvement,PHB (2024),2024
CLS_FIGHTER,15,+5,Subclass feature,PHB (2024),2024
CLS_FIGHTER,16,+5,Ability Score Improvement,PHB (2024),2024
CLS_FIGHTER,17,+6,Action Sur ge (twouses) Indomitable (three uses),PHB (2024),2024
CLS_FIGHTER,18,+6,Subclass feature,PHB (2024),2024
CLS_FIGHTER,19,+6,Epic Boon,PHB (2024),2024
CLS_FIGHTER,20,+6,Three Extr a Attacks,PHB (2024),2024
CLS_MONK,1,+2,"Martial Ar ts, Unarmored Defense 1 d",PHB (2024),2024
CLS_MONK,2,+2,"Monk's Focus, Unarmored Movement, Uncanny Metabolism 1 d 6 2 +10ft.",PHB (2024),2024
CLS_MONK,3,+2,"Deflect Attacks, Monk Subclass 1 d 6 3 +10ft.",PHB (2024),2024
CLS_MONK,4,+2,"Ability Score Improvement, Slow Fall 1 d 6 4 +10ft.",PHB (2024),2024
CLS_MONK,5,+3,"Extra Attack, Stunning Strike 1 d 8 5 +10ft.",PHB (2024),2024
CLS_MONK,6,+3,Empowered Strikes Subclass feature 1 d 8 6 +15ft.,PHB (2024),2024
CLS_MONK,7,+3,Evasion 1 d 8 7 +15ft.,PHB (2024),2024
CLS_MONK,8,+3,Ability Score Improvement 1 d 8 8 +15ft.,PHB (2024),2024
CLS_MONK,9,+4,Acrobatic Movement 1 d 8 9 +15ft.,PHB (2024),2024
CLS_MONK,10,+4,"Heightened Focus, Self-Rest oration 1 d 8 10 +20ft.",PHB (2024),2024
CLS_MONK,11,+4,Subclass feature 1 d 10 11 +20ft.,PHB (2024),2024
CLS_MONK,12,+4,Ability Score Improvement 1 d 10 12 +20ft.,PHB (2024),2024
CLS_MONK,13,+5,Deflect Ener gy 1 d 10 13 +20ft.,PHB (2024),2024
CLS_MONK,14,+5,Disciplined Survivor 1 d 10 14 +25ft.,PHB (2024),2024
CLS_MONK,15,+5,Perfect Focus 1 d 10 15 +25ft.,PHB (2024),2024
CLS_MONK,16,+5,Ability Score Improvement 1 d 10 16 +25ft.,PHB (2024),2024
CLS_MONK,17,+6,Subclass feature 1 d 12 17 +25ft.,PHB (2024),2024
CLS_MONK,18,+6,Superior Defense 1 d 12 18 +30ft.,PHB (2024),2024
CLS_MONK,19,+6,Epic Boon 1 d 12 19 +30ft.,PHB (2024),2024
CLS_MONK,20,+6,Body and Mind 1 d 12 20 +30ft.,PHB (2024),2024
