"subclass_id","class_id","name","level_gained","summary","source","version"
"SUB_PALADIN_DEVOTION","CLS_PALADIN","Oath of Devotion","3","Uphold the Ideals of Justice and Order.","PHB (2024)","2024"
"SUB_PALADIN_GLORY","CLS_PALADIN","Oath of Glory","3","Strive for the Heights of Heroism.","PHB (2024)","2024"
"SUB_PALADIN_ANCIENTS","CLS_PALADIN","Oath of the Ancients","3","Preserve Life and Light in the World.","PHB (2024)","2024"
"SUB_PALADIN_VENGEANCE","CLS_PALADIN","Oath of Vengeance","3","Punish Evildoers at Any Cost.","PHB (2024)","2024"
"SUB_RANGER_HUNTER","CLS_RANGER","Hunter","3","Protect Nature and People from Destruction.","PHB (2024)","2024"
"SUB_RANGER_BEAST_MASTER","CLS_RANGER","Beast Master","3","Bond with a Primal Beast.","PHB (2024)","2024"
"SUB_RANGER_FEY_WANDERER","CLS_RANGER","Fey Wanderer","3","Wield Fey Mirth and Fury.","PHB (2024)","2024"
"SUB_RANGER_GLOOM_STALKER","CLS_RANGER","Gloom Stalker","3","Draw on Shadow Magic to Fight Your Foes.","PHB (2024)","2024"
"SUB_ROGUE_THIEF","CLS_ROGUE","Thief","3","Classic burglar and treasure hunter.","PHB (2024)","2024"
"SUB_ROGUE_ARCANE_TRICKSTER","CLS_ROGUE","Arcane Trickster","3","Enhance Stealth with Arcane Spells.","PHB (2024)","2024"
"SUB_ROGUE_ASSASSIN","CLS_ROGUE","Assassin","3","Practice the Grim Art of Death.","PHB (2024)","2024"
"SUB_ROGUE_SOULKNIFE","CLS_ROGUE","Soulknife","3","Strike Foes with Psionic Blades.","PHB (2024)","2024"
"SUB_SORCERER_DRACONIC","CLS_SORCERER","Draconic Sorcery","3","Breathe the Magic of Dragons.","PHB (2024)","2024"
"SUB_SORCERER_ABERRANT","CLS_SORCERER","Aberrant Sorcery","3","Wield Unnatural Psionic Power.","PHB (2024)","2024"
"SUB_SORCERER_CLOCKWORK","CLS_SORCERER","Clockwork Sorcery","3","Channel Cosmic Forces of Order.","PHB (2024)","2024"
"SUB_SORCERER_WILD_MAGIC","CLS_SORCERER","Wild Magic Sorcery","3","Unleash Chaotic Magic.","PHB (2024)","2024"
"SUB_WARLOCK_FIEND","CLS_WARLOCK","Fiend Patron","3","Make a Deal with the Lower Planes.","PHB (2024)","2024"
"SUB_WARLOCK_ARCHFEY","CLS_WARLOCK","Archfey Patron","3","Bargain with Whimsical Fey.","PHB (2024)","2024"
"SUB_WARLOCK_CELESTIAL","CLS_WARLOCK","Celestial Patron","3","Call on the Power of the Heavens.","PHB (2024)","2024"
"SUB_WARLOCK_GREAT_OLD_ONE","CLS_WARLOCK","Great Old One Patron","3","Unearth Forbidden Lore of Ineffable Beings.","PHB (2024)","2024"
