feature_id,class_id,subclass_id,level_gained,name,summary,action_type,uses,recharge,source,version
CF_BARD_GLAMOUR_BEGUILING_MAGIC,CLS_BARD,SUB_BARD_GLAMOUR,3,Beguiling Magic,Prepared spells and a charm/fear rider on spells.,,,,PHB (2024),2024
CF_BARD_GLAMOUR_MANTLE_OF_INSPIRATION,CLS_BARD,SUB_BARD_GLAMOUR,3,Mantle of Inspiration,Bonus Action to grant Temp HP and reaction moves.,Bonus Action,,,PHB (2024),2024
CF_BARD_GLAMOUR_MANTLE_OF_MAJESTY,CLS_BARD,SUB_BARD_GLAMOUR,6,Mantle of Majesty,Prepared Command and Bonus Action casting without slots.,Bonus Action,,,PHB (2024),2024
CF_BARD_GLAMOUR_UNBREAKABLE_MAJESTY,CLS_BARD,SUB_BARD_GLAMOUR,14,Unbreakable Majesty,Bonus Action aura can cause attacks to miss.,Bonus Action,,,PHB (2024),2024
CF_BARD_VALOR_COMBAT_INSPIRATION,CLS_BARD,SUB_BARD_VALOR,3,Combat Inspiration,Use Bardic Inspiration for defense or extra damage.,,,,PHB (2024),2024
CF_BARD_VALOR_MARTIAL_TRAINING,CLS_BARD,SUB_BARD_VALOR,3,Martial Training,Proficiency with martial weapons and medium armor/shields.,,,,PHB (2024),2024
CF_BARD_VALOR_EXTRA_ATTACK,CLS_BARD,SUB_BARD_VALOR,6,Extra Attack,Attack twice; swap a cantrip for one attack.,,,,PHB (2024),2024
CF_BARD_VALOR_BATTLE_MAGIC,CLS_BARD,SUB_BARD_VALOR,14,Battle Magic,After casting a spell, make a weapon attack as Bonus Action.,Bonus Action,,,PHB (2024),2024
CF_BARBARIAN_UNARMORED_DEFENSE,CLS_BARBARIAN,,1,Unarmored Defense,AC equals 10 plus Dex and Con modifiers while unarmored.,,,,PHB (2024),2024
CF_BARBARIAN_WEAPON_MASTERY,CLS_BARBARIAN,,1,Weapon Mastery,Use mastery properties of two melee weapons (more at higher levels).,,,,PHB (2024),2024
CF_BARBARIAN_DANGER_SENSE,CLS_BARBARIAN,,2,Danger Sense,Advantage on Dex saves unless Incapacitated.,,,,PHB (2024),2024
CF_BARBARIAN_RECKLESS_ATTACK,CLS_BARBARIAN,,2,Reckless Attack,Gain Advantage on Strength attacks; attacks vs you have Advantage.,,,,PHB (2024),2024
CF_BARBARIAN_SUBCLASS,CLS_BARBARIAN,,3,Barbarian Subclass,Choose a Barbarian subclass.,,,,PHB (2024),2024
CF_BARBARIAN_PRIMAL_KNOWLEDGE,CLS_BARBARIAN,,3,Primal Knowledge,Extra skill proficiency and Strength-based skill use while raging.,,,,PHB (2024),2024
CF_BARBARIAN_ASI,CLS_BARBARIAN,,4,Ability Score Improvement,Gain ASI or feat (levels 4,8,12,16).,,,,PHB (2024),2024
CF_BARBARIAN_EXTRA_ATTACK,CLS_BARBARIAN,,5,Extra Attack,Attack twice when you take the Attack action.,,,,PHB (2024),2024
CF_BARBARIAN_FAST_MOVEMENT,CLS_BARBARIAN,,5,Fast Movement,Speed increases by 10 feet while not in Heavy armor.,,,,PHB (2024),2024
CF_BARBARIAN_FERAL_INSTINCT,CLS_BARBARIAN,,7,Feral Instinct,Advantage on Initiative rolls.,,,,PHB (2024),2024
CF_BARBARIAN_INSTINCTIVE_POUNCE,CLS_BARBARIAN,,7,Instinctive Pounce,Move up to half speed when you enter Rage.,,,,PHB (2024),2024
CF_BARBARIAN_BRUTAL_STRIKE,CLS_BARBARIAN,,9,Brutal Strike,Extra damage and special effects when using Reckless Attack.,,,,PHB (2024),2024
CF_BARBARIAN_RELENTLESS_RAGE,CLS_BARBARIAN,,11,Relentless Rage,Con save to stay at 0 HP during Rage.,,,,PHB (2024),2024
CF_BARBARIAN_IMPROVED_BRUTAL_STRIKE,CLS_BARBARIAN,,13,Improved Brutal Strike,Additional Brutal Strike options (damage scaling later).,,,,PHB (2024),2024
CF_BARBARIAN_PERSISTENT_RAGE,CLS_BARBARIAN,,15,Persistent Rage,Rage lasts 10 minutes and refreshes on Initiative.,,,,PHB (2024),2024
CF_BARBARIAN_INDOMITABLE_MIGHT,CLS_BARBARIAN,,18,Indomitable Might,Use Strength score for low Str checks/saves.,,,,PHB (2024),2024
CF_BARBARIAN_EPIC_BOON,CLS_BARBARIAN,,19,Epic Boon,Gain an Epic Boon feat or another feat.,,,,PHB (2024),2024
CF_BARBARIAN_PRIMAL_CHAMPION,CLS_BARBARIAN,,20,Primal Champion,Strength and Constitution increase by 4 (max 25).,,,,PHB (2024),2024
CF_BARBARIAN_BERSERKER_FRENZY,CLS_BARBARIAN,SUB_BARBARIAN_BERSERKER,3,Frenzy,Extra damage on first hit while raging with Reckless Attack.,,,,PHB (2024),2024
CF_BARBARIAN_BERSERKER_MINDLESS_RAGE,CLS_BARBARIAN,SUB_BARBARIAN_BERSERKER,6,Mindless Rage,Immunity to Charmed and Frightened while raging.,,,,PHB (2024),2024
CF_BARBARIAN_BERSERKER_RETALIATION,CLS_BARBARIAN,SUB_BARBARIAN_BERSERKER,10,Retaliation,Reaction melee attack when a creature damages you within 5 feet.,Reaction,,,PHB (2024),2024
CF_BARBARIAN_BERSERKER_INTIMIDATING_PRESENCE,CLS_BARBARIAN,SUB_BARBARIAN_BERSERKER,14,Intimidating Presence,Bonus action to frighten creatures in 30-foot emanation.,Bonus Action,,,PHB (2024),2024
CF_BARBARIAN_WILD_HEART_ANIMAL_SPEAKER,CLS_BARBARIAN,SUB_BARBARIAN_WILD_HEART,3,Animal Speaker,Ritual cast Beast Sense and Speak with Animals (Wisdom).,,,,PHB (2024),2024
CF_BARBARIAN_WILD_HEART_RAGE_OF_THE_WILDS,CLS_BARBARIAN,SUB_BARBARIAN_WILD_HEART,3,Rage of the Wilds,Bear, Eagle, or Wolf benefits while raging.,,,,PHB (2024),2024
CF_BARBARIAN_WILD_HEART_ASPECT_OF_THE_WILDS,CLS_BARBARIAN,SUB_BARBARIAN_WILD_HEART,6,Aspect of the Wilds,Gain Owl, Panther, or Salmon aspect after long rest.,,,,PHB (2024),2024
CF_BARBARIAN_WILD_HEART_NATURE_SPEAKER,CLS_BARBARIAN,SUB_BARBARIAN_WILD_HEART,10,Nature Speaker,Ritual cast Commune with Nature (Wisdom).,,,,PHB (2024),2024
CF_BARBARIAN_WILD_HEART_POWER_OF_THE_WILDS,CLS_BARBARIAN,SUB_BARBARIAN_WILD_HEART,14,Power of the Wilds,Falcon, Lion, or Ram benefits while raging.,,,,PHB (2024),2024
CF_BARBARIAN_WORLD_TREE_VITALITY_OF_THE_TREE,CLS_BARBARIAN,SUB_BARBARIAN_WORLD_TREE,3,Vitality of the Tree,Gain Temp HP on Rage and share Temp HP to ally.,,,,PHB (2024),2024
CF_BARBARIAN_WORLD_TREE_BRANCHES_OF_THE_TREE,CLS_BARBARIAN,SUB_BARBARIAN_WORLD_TREE,6,Branches of the Tree,Reaction to teleport a nearby creature and reduce its speed.,Reaction,,,PHB (2024),2024
CF_BARBARIAN_WORLD_TREE_BATTERING_ROOTS,CLS_BARBARIAN,SUB_BARBARIAN_WORLD_TREE,10,Battering Roots,Reach +10 with heavy/versatile weapons; add Push/Topple.,,,,PHB (2024),2024
CF_BARBARIAN_WORLD_TREE_TRAVEL_ALONG_THE_TREE,CLS_BARBARIAN,SUB_BARBARIAN_WORLD_TREE,14,Travel along the Tree,Teleport on Rage and as a Bonus Action while raging.,Bonus Action,,,PHB (2024),2024
CF_BARBARIAN_ZEALOT_DIVINE_FURY,CLS_BARBARIAN,SUB_BARBARIAN_ZEALOT,3,Divine Fury,Extra necrotic or radiant damage once per turn while raging.,,,,PHB (2024),2024
CF_BARBARIAN_ZEALOT_WARRIOR_OF_THE_GODS,CLS_BARBARIAN,SUB_BARBARIAN_ZEALOT,3,Warrior of the Gods,Bonus Action heal using a pool of d12s.,Bonus Action,,,PHB (2024),2024
CF_BARBARIAN_ZEALOT_FANATICAL_FOCUS,CLS_BARBARIAN,SUB_BARBARIAN_ZEALOT,6,Fanatical Focus,Reroll a failed save once per Rage with bonus.,,,,PHB (2024),2024
CF_BARBARIAN_ZEALOT_ZEALOUS_PRESENCE,CLS_BARBARIAN,SUB_BARBARIAN_ZEALOT,10,Zealous Presence,Bonus Action grant allies advantage until next turn.,Bonus Action,,,PHB (2024),2024
CF_BARBARIAN_ZEALOT_RAGE_OF_THE_GODS,CLS_BARBARIAN,SUB_BARBARIAN_ZEALOT,14,Rage of the Gods,Divine warrior form with flight, resistances, and revival.,,,,PHB (2024),2024
CF_CLERIC_SPELLCASTING,CLS_CLERIC,,1,Spellcasting,Cleric spellcasting and prepared spells.,,,,PHB (2024),2024
CF_CLERIC_DIVINE_ORDER,CLS_CLERIC,,1,Divine Order,Choose a sacred role.,,,,PHB (2024),2024
CF_CLERIC_CHANNEL_DIVINITY,CLS_CLERIC,,2,Channel Divinity,Divine Spark and Turn Undead uses.,Magic Action,"2 (scales)",Short Rest,PHB (2024),2024
CF_CLERIC_SUBCLASS,CLS_CLERIC,,3,Cleric Subclass,Choose a Cleric subclass.,,,,PHB (2024),2024
CF_CLERIC_ASI,CLS_CLERIC,,4,Ability Score Improvement,Gain ASI or feat (levels 4,8,12,16).,,,,PHB (2024),2024
CF_CLERIC_SEAR_UNDEAD,CLS_CLERIC,,5,Sear Undead,Turn Undead deals Radiant damage on failed saves.,,,,PHB (2024),2024
CF_CLERIC_BLESSED_STRIKES,CLS_CLERIC,,7,Blessed Strikes,Choose Divine Strike or Potent Spellcasting.,,,,PHB (2024),2024
CF_CLERIC_DIVINE_INTERVENTION,CLS_CLERIC,,10,Divine Intervention,Cast a spell without expending a slot.,Magic Action,,Long Rest,PHB (2024),2024
CF_CLERIC_IMPROVED_BLESSED_STRIKES,CLS_CLERIC,,14,Improved Blessed Strikes,Blessed Strikes improves.,,,,PHB (2024),2024
CF_CLERIC_EPIC_BOON,CLS_CLERIC,,19,Epic Boon,Gain an Epic Boon feat or another feat.,,,,PHB (2024),2024
CF_CLERIC_GREATER_DIVINE_INTERVENTION,CLS_CLERIC,,20,Greater Divine Intervention,Can choose Wish; extended cooldown.,,,,PHB (2024),2024
CF_CLERIC_LIFE_DISCIPLE_OF_LIFE,CLS_CLERIC,SUB_CLERIC_LIFE,3,Disciple of Life,Extra healing on spells with slots.,,,,PHB (2024),2024
CF_CLERIC_LIFE_DOMAIN_SPELLS,CLS_CLERIC,SUB_CLERIC_LIFE,3,Life Domain Spells,Always prepared domain spells by level.,,,,PHB (2024),2024
CF_CLERIC_LIFE_PRESERVE_LIFE,CLS_CLERIC,SUB_CLERIC_LIFE,3,Preserve Life,Channel Divinity to heal bloodied creatures in range.,Magic Action,,,PHB (2024),2024
CF_CLERIC_LIFE_BLESSED_HEALER,CLS_CLERIC,SUB_CLERIC_LIFE,6,Blessed Healer,Healing spells you cast on others also heal you.,,,,PHB (2024),2024
CF_CLERIC_LIFE_SUPREME_HEALING,CLS_CLERIC,SUB_CLERIC_LIFE,17,Supreme Healing,Maximize healing dice for spells and Channel Divinity.,,,,PHB (2024),2024
CF_CLERIC_LIGHT_DOMAIN_SPELLS,CLS_CLERIC,SUB_CLERIC_LIGHT,3,Light Domain Spells,Always prepared domain spells by level.,,,,PHB (2024),2024
CF_CLERIC_LIGHT_RADIANCE_OF_THE_DAWN,CLS_CLERIC,SUB_CLERIC_LIGHT,3,Radiance of the Dawn,Channel Divinity to dispel darkness and deal radiant damage.,Magic Action,,,PHB (2024),2024
CF_CLERIC_LIGHT_WARDING_FLARE,CLS_CLERIC,SUB_CLERIC_LIGHT,3,Warding Flare,Reaction to impose disadvantage on an attack roll.,Reaction,,,PHB (2024),2024
CF_CLERIC_LIGHT_IMPROVED_WARDING_FLARE,CLS_CLERIC,SUB_CLERIC_LIGHT,6,Improved Warding Flare,Recharge on short rest and grant Temp HP on use.,,,,PHB (2024),2024
CF_CLERIC_LIGHT_CORONA_OF_LIGHT,CLS_CLERIC,SUB_CLERIC_LIGHT,17,Corona of Light,Sunlight aura weakens foes against radiant/fire effects.,Magic Action,,,PHB (2024),2024
CF_CLERIC_TRICKERY_BLESSING_OF_THE_TRICKSTER,CLS_CLERIC,SUB_CLERIC_TRICKERY,3,Blessing of the Trickster,Grant advantage on Stealth checks until long rest.,Magic Action,,,PHB (2024),2024
CF_CLERIC_TRICKERY_INVOKE_DUPLICITY,CLS_CLERIC,SUB_CLERIC_TRICKERY,3,Invoke Duplicity,Channel Divinity to create a controllable illusion.,Bonus Action,,,PHB (2024),2024
CF_CLERIC_TRICKERY_DOMAIN_SPELLS,CLS_CLERIC,SUB_CLERIC_TRICKERY,3,Trickery Domain Spells,Always prepared domain spells by level.,,,,PHB (2024),2024
CF_CLERIC_TRICKERY_TRICKSTERS_TRANSPOSITION,CLS_CLERIC,SUB_CLERIC_TRICKERY,6,Trickster's Transposition,Teleport by swapping places with your illusion.,,,,PHB (2024),2024
CF_CLERIC_TRICKERY_IMPROVED_DUPLICITY,CLS_CLERIC,SUB_CLERIC_TRICKERY,17,Improved Duplicity,Illusion grants ally advantage and heals when it ends.,,,,PHB (2024),2024
CF_CLERIC_WAR_GUIDED_STRIKE,CLS_CLERIC,SUB_CLERIC_WAR,3,Guided Strike,Channel Divinity to add +10 to an attack roll.,,,,PHB (2024),2024
CF_CLERIC_WAR_DOMAIN_SPELLS,CLS_CLERIC,SUB_CLERIC_WAR,3,War Domain Spells,Always prepared domain spells by level.,,,,PHB (2024),2024
CF_CLERIC_WAR_PRIEST,CLS_CLERIC,SUB_CLERIC_WAR,3,War Priest,Bonus Action weapon/unarmed attack uses scale by Wis.,Bonus Action,,,PHB (2024),2024
CF_CLERIC_WAR_GODS_BLESSING,CLS_CLERIC,SUB_CLERIC_WAR,6,War God's Blessing,Channel Divinity to cast Shield of Faith or Spiritual Weapon.,,,,PHB (2024),2024
CF_CLERIC_WAR_AVATAR_OF_BATTLE,CLS_CLERIC,SUB_CLERIC_WAR,17,Avatar of Battle,Resistance to bludgeoning, piercing, and slashing.,,,,PHB (2024),2024
CF_CLERIC_LIFE_PRESERVE_LIFE,CLS_CLERIC,SUB_CLERIC_LIFE,3,Preserve Life,Channel Divinity healing pool.,Magic Action,,,PHB (2024),2024
CF_CLERIC_LIFE_BLESSED_HEALER,CLS_CLERIC,SUB_CLERIC_LIFE,6,Blessed Healer,Healing others also heals you.,,,,PHB (2024),2024
CF_CLERIC_LIFE_SUPREME_HEALING,CLS_CLERIC,SUB_CLERIC_LIFE,17,Supreme Healing,Maximize healing dice.,,,,PHB (2024),2024
CF_DRUID_SPELLCASTING,CLS_DRUID,,1,Spellcasting,Druid spellcasting and prepared spells.,,,,PHB (2024),2024
CF_DRUID_DRUIDIC,CLS_DRUID,,1,Druidic,Learn Druidic; always have Speak with Animals prepared.,,,,PHB (2024),2024
CF_DRUID_PRIMAL_ORDER,CLS_DRUID,,1,Primal Order,Choose a sacred role.,,,,PHB (2024),2024
CF_DRUID_WILD_SHAPE,CLS_DRUID,,2,Wild Shape,Bonus action to assume beast form; uses scale by level.,Bonus Action,"2 (scales)",Short Rest,PHB (2024),2024
CF_DRUID_WILD_COMPANION,CLS_DRUID,,2,Wild Companion,Cast Find Familiar using Wild Shape or spell slot.,Magic Action,,,PHB (2024),2024
CF_DRUID_SUBCLASS,CLS_DRUID,,3,Druid Subclass,Choose a Druid subclass.,,,,PHB (2024),2024
CF_DRUID_ASI,CLS_DRUID,,4,Ability Score Improvement,Gain ASI or feat (levels 4,8,12,16).,,,,PHB (2024),2024
CF_DRUID_WILD_RESURGENCE,CLS_DRUID,,5,Wild Resurgence,Convert spell slots and Wild Shape uses.,,,,PHB (2024),2024
CF_DRUID_ELEMENTAL_FURY,CLS_DRUID,,7,Elemental Fury,Choose an elemental option (improves at 15).,,,,PHB (2024),2024
CF_DRUID_IMPROVED_ELEMENTAL_FURY,CLS_DRUID,,15,Improved Elemental Fury,Elemental Fury options improve.,,,,PHB (2024),2024
CF_DRUID_BEAST_SPELLS,CLS_DRUID,,18,Beast Spells,Cast spells in Beast form with limits.,,,,PHB (2024),2024
CF_DRUID_EPIC_BOON,CLS_DRUID,,19,Epic Boon,Gain an Epic Boon feat or another feat.,,,,PHB (2024),2024
CF_DRUID_ARCHDRUID,CLS_DRUID,,20,Archdruid,Evergreen Wild Shape and Nature Magician.,,,,PHB (2024),2024
CF_DRUID_LAND_CIRCLE_SPELLS,CLS_DRUID,SUB_DRUID_LAND,3,Circle of the Land Spells,Prepared spells by land type and level.,,,,PHB (2024),2024
CF_DRUID_LAND_LANDS_AID,CLS_DRUID,SUB_DRUID_LAND,3,Land's Aid,Area heal and necrotic damage (scales).,Magic Action,,,PHB (2024),2024
CF_DRUID_LAND_NATURAL_RECOVERY,CLS_DRUID,SUB_DRUID_LAND,6,Natural Recovery,Recover spell slots after short rest.,,,,PHB (2024),2024
CF_DRUID_LAND_NATURES_WARD,CLS_DRUID,SUB_DRUID_LAND,10,Nature's Ward,Immunity to Poisoned and resistance by land type.,,,,PHB (2024),2024
CF_DRUID_LAND_NATURES_SANCTUARY,CLS_DRUID,SUB_DRUID_LAND,14,Nature's Sanctuary,Create protective terrain cube, move it as bonus action.,Magic Action,,,PHB (2024),2024
CF_DRUID_MOON_CIRCLE_FORMS,CLS_DRUID,SUB_DRUID_MOON,3,Circle Forms,Enhanced Wild Shape CR, AC, and Temp HP.,,,,PHB (2024),2024
CF_DRUID_MOON_CIRCLE_SPELLS,CLS_DRUID,SUB_DRUID_MOON,3,Circle of the Moon Spells,Always prepared spells usable in Wild Shape.,,,,PHB (2024),2024
CF_DRUID_MOON_IMPROVED_CIRCLE_FORMS,CLS_DRUID,SUB_DRUID_MOON,6,Improved Circle Forms,Radiant damage option and tougher saves in Wild Shape.,,,,PHB (2024),2024
CF_DRUID_MOON_MOONLIGHT_STEP,CLS_DRUID,SUB_DRUID_MOON,10,Moonlight Step,Bonus Action teleport with advantage on next attack.,Bonus Action,,,PHB (2024),2024
CF_DRUID_MOON_LUNAR_FORM,CLS_DRUID,SUB_DRUID_MOON,14,Lunar Form,Extra radiant damage and shared Moonlight Step.,,,,PHB (2024),2024
CF_DRUID_SEA_CIRCLE_SPELLS,CLS_DRUID,SUB_DRUID_SEA,3,Circle of the Sea Spells,Always prepared spells by level.,,,,PHB (2024),2024
CF_DRUID_SEA_WRATH_OF_THE_SEA,CLS_DRUID,SUB_DRUID_SEA,3,Wrath of the Sea,Bonus Action emanation that damages and pushes foes.,Bonus Action,,,PHB (2024),2024
CF_DRUID_SEA_AQUATIC_AFFINITY,CLS_DRUID,SUB_DRUID_SEA,6,Aquatic Affinity,Emanation grows and you gain a swim speed.,,,,PHB (2024),2024
CF_DRUID_SEA_STORMBORN,CLS_DRUID,SUB_DRUID_SEA,10,Stormborn,Emanation grants flight and resistances.,,,,PHB (2024),2024
CF_DRUID_SEA_OCEANIC_GIFT,CLS_DRUID,SUB_DRUID_SEA,14,Oceanic Gift,Share Wrath of the Sea with an ally.,,,,PHB (2024),2024
CF_DRUID_STARS_STAR_MAP,CLS_DRUID,SUB_DRUID_STARS,3,Star Map,Create star chart; Guidance/Guiding Bolt prepared.,,,,PHB (2024),2024
CF_DRUID_STARS_STARRY_FORM,CLS_DRUID,SUB_DRUID_STARS,3,Starry Form,Bonus Action to assume a starry constellation form.,Bonus Action,,,PHB (2024),2024
CF_DRUID_STARS_COSMIC_OMEN,CLS_DRUID,SUB_DRUID_STARS,6,Cosmic Omen,Reaction weal or woe on d20 tests.,Reaction,,,PHB (2024),2024
CF_DRUID_STARS_TWINKLING_CONSTELLATIONS,CLS_DRUID,SUB_DRUID_STARS,10,Twinkling Constellations,Upgrade Starry Form and change constellations.,,,,PHB (2024),2024
CF_DRUID_STARS_FULL_OF_STARS,CLS_DRUID,SUB_DRUID_STARS,14,Full of Stars,Resistance to bludgeoning, piercing, and slashing.,,,,PHB (2024),2024
CF_FIGHTER_FIGHTING_STYLE,CLS_FIGHTER,,1,Fighting Style,Gain a Fighting Style feat; can replace on level up.,,,,PHB (2024),2024
CF_FIGHTER_SECOND_WIND,CLS_FIGHTER,,1,Second Wind,Bonus action heal 1d10 + fighter level; uses scale by level.,Bonus Action,"2 (scales)",Short Rest,PHB (2024),2024
CF_FIGHTER_WEAPON_MASTERY,CLS_FIGHTER,,1,Weapon Mastery,Use mastery properties of three weapons (more at higher levels).,,,,PHB (2024),2024
CF_FIGHTER_ACTION_SURGE,CLS_FIGHTER,,2,Action Surge,Take one additional action; uses increase at level 17.,,,,PHB (2024),2024
CF_FIGHTER_TACTICAL_MIND,CLS_FIGHTER,,2,Tactical Mind,Spend Second Wind to add 1d10 to failed check.,,,,PHB (2024),2024
CF_FIGHTER_SUBCLASS,CLS_FIGHTER,,3,Fighter Subclass,Choose a Fighter subclass.,,,,PHB (2024),2024
CF_FIGHTER_ASI,CLS_FIGHTER,,4,Ability Score Improvement,Gain ASI or feat (levels 4,6,8,12,14,16).,,,,PHB (2024),2024
CF_FIGHTER_EXTRA_ATTACK,CLS_FIGHTER,,5,Extra Attack,Attack twice when you take the Attack action.,,,,PHB (2024),2024
CF_FIGHTER_TACTICAL_SHIFT,CLS_FIGHTER,,5,Tactical Shift,Move up to half speed when using Second Wind.,,,,PHB (2024),2024
CF_FIGHTER_TACTICAL_MASTER,CLS_FIGHTER,,9,Tactical Master,Replace mastery property with Push, Sap, or Slow.,,,,PHB (2024),2024
CF_FIGHTER_INDOMITABLE,CLS_FIGHTER,,9,Indomitable,Reroll a failed save with bonus equal to fighter level.,,,,PHB (2024),2024
CF_FIGHTER_TWO_EXTRA_ATTACKS,CLS_FIGHTER,,11,Two Extra Attacks,Attack three times when you take the Attack action.,,,,PHB (2024),2024
CF_FIGHTER_STUDIED_ATTACKS,CLS_FIGHTER,,13,Studied Attacks,Gain Advantage on next attack after a miss.,,,,PHB (2024),2024
CF_FIGHTER_EPIC_BOON,CLS_FIGHTER,,19,Epic Boon,Gain an Epic Boon feat or another feat.,,,,PHB (2024),2024
CF_FIGHTER_THREE_EXTRA_ATTACKS,CLS_FIGHTER,,20,Three Extra Attacks,Attack four times when you take the Attack action.,,,,PHB (2024),2024
CF_FIGHTER_CHAMPION_IMPROVED_CRITICAL,CLS_FIGHTER,SUB_FIGHTER_CHAMPION,3,Improved Critical,Critical hits on 19–20.,,,,PHB (2024),2024
CF_FIGHTER_CHAMPION_REMARKABLE_ATHLETE,CLS_FIGHTER,SUB_FIGHTER_CHAMPION,3,Remarkable Athlete,Advantage on Initiative and Athletics; move after crit.,,,,PHB (2024),2024
CF_FIGHTER_CHAMPION_ADDITIONAL_FIGHTING_STYLE,CLS_FIGHTER,SUB_FIGHTER_CHAMPION,7,Additional Fighting Style,Gain another Fighting Style feat.,,,,PHB (2024),2024
CF_FIGHTER_CHAMPION_HEROIC_WARRIOR,CLS_FIGHTER,SUB_FIGHTER_CHAMPION,10,Heroic Warrior,Gain Heroic Inspiration at start of turn in combat.,,,,PHB (2024),2024
CF_FIGHTER_CHAMPION_SUPERIOR_CRITICAL,CLS_FIGHTER,SUB_FIGHTER_CHAMPION,15,Superior Critical,Critical hits on 18–20.,,,,PHB (2024),2024
CF_FIGHTER_CHAMPION_SURVIVOR,CLS_FIGHTER,SUB_FIGHTER_CHAMPION,18,Survivor,Advantage on death saves; healing while Bloodied.,,,,PHB (2024),2024
CF_FIGHTER_BATTLEMASTER_COMBAT_SUPERIORITY,CLS_FIGHTER,SUB_FIGHTER_BATTLEMASTER,3,Combat Superiority,Learn maneuvers and use Superiority Dice to fuel them.,,,,PHB (2024),2024
CF_FIGHTER_BATTLEMASTER_STUDENT_OF_WAR,CLS_FIGHTER,SUB_FIGHTER_BATTLEMASTER,3,Student of War,Gain a tool proficiency and a skill proficiency.,,,,PHB (2024),2024
CF_FIGHTER_BATTLEMASTER_KNOW_YOUR_ENEMY,CLS_FIGHTER,SUB_FIGHTER_BATTLEMASTER,7,Know Your Enemy,Bonus Action to learn target immunities/resistances/vulnerabilities.,Bonus Action,,,PHB (2024),2024
CF_FIGHTER_BATTLEMASTER_IMPROVED_COMBAT_SUPERIORITY,CLS_FIGHTER,SUB_FIGHTER_BATTLEMASTER,10,Improved Combat Superiority,Superiority Dice become d10s.,,,,PHB (2024),2024
