name,size,type,alignment,ac,initiative,hp,speed,abilities,skills,senses,languages,cr,traits,actions,bonus_actions,reactions
Crocodile,Large,Beast,Unaligned,12,+0 (10),13 (2d10 + 2),"20 ft., Swim 30 ft.","STR 15, DEX 10, CON 13, INT 2, WIS 10, CHA 5",Stealth +2,Passive Perception 10,None,1/2 (XP 100; PB +2),Traits Hold Br eath. The cr ocodile can hold its br eath for 1 hour .,"Bite. Melee Attack Roll: +4, r each 5 ft. Hit: 6 (1d8 + 2) Piercing damage. If the target is a Medium or smaller creature, it has the Grappled condition (escape DC 12). While Grappled, the target has the Restrained condition.",,
Dire Wolf,Large,Beast,Unaligned,14,+2 (12),22 (3d10 + 6),50 ft.,"STR 17, DEX 15, CON 15, INT 3, WIS 12, CHA 7","Perception +5, Stealth +4",Darkvision 60 ft.; Passive Perception 15,None,1 (XP 200; PB +2),Traits Pack Tactics. The wolf has Advantage on an attack roll against a creature if at least one of the wolf ’s allies is within 5 feet of the creature and the ally doesn ’t have the Incapacitated condition.,"Bite. Melee Attack Roll: +5, r each 5 ft. Hit: 8 (1d10 + 3) Piercing damage. If the target is a Lar ge or smaller creature, it has the Prone condition.",,
Draf T Horse,Large,Beast,Unaligned,10,+0 (10),15 (2d10 + 4),40 ft.,"STR 18, DEX 10, CON 15, INT 2, WIS 11, CHA 7",,,None,1/4 (XP 50; PB +2),,"Hooves. Melee Attack Roll: +6, r each 5 ft. Hit: 6 (1d4 + 4) Bludgeoning damage.",,
Eleph Ant,Huge,Beast,Unaligned,12,,76 (8d12 + 24),40 ft.,"STR 22, DEX 9, CON 17, INT 3, WIS 11, CHA 6",,Passive Perception 10,None,"CR 4 (XP 1,100; PB +2)",,"Multiattack. The elephant mak es two Gor e attacks. Gore. Melee Attack Roll: +8, r each 5 ft. Hit: 15 (2d8 + 6) Piercing damage. If the target is a Huge or smaller creature and the elephant mo ved 20+ feet str aight toward it immediately before the hit, the target has the Prone condition.","Trample. Dexterity Saving Throw: DC 16, one creature within 5 feet that has the Prone condition. Failure: 17 (2d10 + 6) Bludgeoning damage. Success: Half damage.Huge Beast, Unaligned",
Elk,Large,Beast,Unaligned,10,+0 (10),11 (2d10),50 ft.,"STR 16, DEX 10, CON 11, INT 2, WIS 10, CHA 6",,Darkvision 60 ft.; P assiv e Perception 12,None,1/4 (XP 50; PB +2),,"Ram. Melee Attack Roll: +5, r each 5 ft. Hit: 6 (1d6 + 3) Bludgeoning damage. If the target is a Lar ge or smaller creature and the elk mo ved 20+ feet str aight toward it immediately before the hit, the target takes an extr a 3 (1d6) Bludgeoning damage and has the Prone condition.",,
Frog,Tiny,Beast,Unaligned,11,+1 (11),1 (1d4 - 1),"20 ft., Swim 20 ft.","STR 1, DEX 13, CON 8, INT 1, WIS 8, CHA 3","Perception +1, Stealth +3",Darkvision 30 ft.; P assiv e Perception 11,None,0 (XP 10; PB +2),Traits Amphibious. The fr og can br eathe air and water . Standing Leap. The fr og’s Long Jump is up to 10 feet and its High Jump is up to 5 feet with or without a running star t.,"Bite. Melee Attack Roll: +3, r each 5 ft. Hit: 1 Piercing damage.",,
Giant Badger,Medium,Beast,Unaligned,13,+0 (10),15 (2d8 + 6),"30 ft., Burr ow 10 ft.","STR 13, DEX 10, CON 17, INT 2, WIS 12",Perception +3,Darkvision 60 ft.; P assiv e Perception 13,None,1/4 (XP 50; PB +2),CHA5 -3 -3 Resistances Poison,"Bite. Melee Attack Roll: +3, r each 5 ft. Hit: 6 (2d4 + 1) Pier cing damage.",,
Giant Crab,Medium,Beast,Unaligned,15,+1 (11),13 (3d8),"30 ft., Swim 30 ft.","STR 13, DEX 13, CON 11, INT 1, WIS 9, CHA 3",Stealth +3,Blindsight 30 ft.; P assiv e Perception 9,None,1/8 (XP 25; PB +2),Traits Amphibious. The cr ab can br eathe air and water .,"Claw . Melee Attack Roll: +3, r each 5 ft. Hit: 4 (1d6 + 1) Bludgeoning damage. If the target is a Medium or smaller creature, it has the Grappled condition (escape DC 11) from one of two claws.",,
Giant Goat,Large,Beast,Unaligned,11,+1 (11),19 (3d10 + 3),"40 ft., Climb 30 ft.","STR 17, DEX 13, CON 12, INT 3, WIS 12, CHA 6",,Darkvision 60 ft.; Passive Perception 13,None,1/2 (XP 100; PB +2),,"Ram. Melee Attack Roll: +5, r each 5 ft. Hit: 6 (1d6 + 3) Bludgeoning damage. If the target is a Lar ge or smaller creature and the goat mo ved 20+ feet str aight toward it immediately before the hit, the target takes an extr a 5 (2d4) Bludgeoning damage and has the Prone condition.",,
Giant Seahorse,Large,Beast,Unaligned,14,+1 (11),16 (3d10),"5 ft., Swim 40 ft.","STR 15, DEX 12, CON 11, INT 2, WIS 12, CHA 5",,Passiv e Perception 11,None,CR 1/2 (XP 100; PB +2),Traits Water Br eathing. The seahorse can br eathe only under water .,"Ram. Melee Attack Roll: +4, r each 5 ft. Hit: 9 (2d6 + 2) Bludgeoning damage, or 11 (2d8 + 2) Bludgeoning damage if the seahorse mo ved 20+ feet str aight toward the target immediately before the hit.","Bubble Dash. While under water , the seahorse mo ves up to half its Swim Speed without pr ovoking Opportunity Attacks .Large Beast, Unaligned",
Giant Spider,Large,Beast,Unaligned,14,+3 (13),26 (4d10 + 4),"30 ft., Climb 30 ft.","STR 14, DEX 16, CON 12, INT 2, WIS 11, CHA 4","Perception +4, Stealth +7",Darkvision 60 ft.; P assiv e Perception 14,None,1 (XP 200; PB +2)Traits,"Spider Climb. The spider can climb diﬃcult sur faces, including along ceilings, without needing to make an ability check. Web W alker. The spider ignor es movement r estrictions caused by webs, and it knows the location of any other creature in contact with the same web.","Bite. Melee Attack Roll: +5, r each 5 ft. Hit: 7 (1d8 + 3) Piercing damage plus 7 (2d6) P oison damage. Web (Rechar ge 5–6). Dexterity Saving Throw: DC 13, one creature the spider can see within 60 feet. Failure: The tar get has the Restrained condition until the web is destr oyed (A C 10; HP 5; V ulner ability to Fir e damage; Immunity to Poison and Psy chic damage).",,
Giant Weasel,Medium,Beast,Unaligned,13,+3 (13),9 (2d8),"40 ft., Climb 30 ft.","STR 11, DEX 17, CON 10, INT 4, WIS 12, CHA 5",,Darkvision 60 ft.; Passiv e Perception 13,None,1/8 (XP 25; PB +2),,"Bite. Melee Attack Roll: +5, r each 5 ft. Hit: 5 (1d4 + 3) Piercing damage.",,
Goat,Medium,Beast,Unaligned,10,+0 (10),4 (1d8),"40 ft., Climb 30 ft.","STR 11, DEX 10, CON 11, INT 2, WIS 10, CHA 5",,Darkvision 60 ft.; P assiv e Perception 12,None,0 (XP 10; PB +2),,"Ram. Melee Attack Roll: +2, r each 5 ft. Hit: 1 Bludgeoning damage, or 2 (1d4) Bludgeoning damage if the goat mo ved 20+ feet str aight toward the target immediately before the hit.",,
Hawk,Tiny,Beast,Unaligned,13,+3 (13),1 (1d4 - 1),"10 ft., Fly 60 ft.","STR 5, DEX 16, CON 8, INT 2, WIS 14, CHA 6",,Passiv e Perception 16,None,0 (XP 10; PB +2),,"Talons. Melee Attack Roll: +5, r each 5 ft. Hit: 1 Slashing damage.",,
Imp,,,,13,+3 (13),21 (6d4 + 6),"20 ft., Fly 40 ft.","STR 6, DEX 17, CON 13, INT 11, WIS 12, CHA 14","Deception +4, Insight +3, Stealth +5",Darkvision 120 ft. (unimpeded by magical Darkness );,,1 (XP 200; PB +2),"Resistances Cold Immunities Fire, Poison; Poisoned Passiv e Perception 11Languages Common, Inf ernal Traits Magic Resistance. The imp has Advantage on saving throws against spells and other magical effects.","Sting. Melee Attack Roll: +5, r each 5 ft. Hit: 6 (1d6 + 3) Piercing damage plus 7 (2d6) P oison damage. Invisibility . The imp casts Invisibility on itself, r equiring no spell components and using Charisma as the spellcasting ability . Shape-Shift. The imp shape-shifts to resemble a r at (Speed 20 ft.), a r aven (20 ft., Fly 60 ft.), or a spider (20 ft., Climb 20 ft.), or it r eturns to its true form. Its game statistics are the same in each form, ex cept for its Speed. Any equipment it is wearing or carr ying isn ’t transformed.Tiny Fiend (De vil), Lawful Evil IMP",,
Lion,Large,Beast,Unaligned,12,+2 (12),22 (4d10),50 ft.,"STR 17, DEX 15, CON 11, INT 3, WIS 12, CHA 8","Perception +3, Stealth +4",Darkvision 60 ft.; P assiv e Perception 13,None,1 (XP 200; PB +2)Traits,"Pack Tactics. The lion has Advantage on an attack roll against a creature if at least one of the lion ’s allies is within 5 feet of the creature and the ally doesn ’t have the Incapacitated condition. Running Leap. With a 10-foot running star t, the lion can Long Jump up to 25 feet.","Multiattack. The lion mak es two Rend attacks. It can r eplace one attack with a use of Roar . Rend. Melee Attack Roll: +5, r each 5 ft. Hit: 7 (1d8 + 3) Slashing damage. Roar . Wisdom Saving Throw: DC 11, one creature within 15 feet. Failure: The tar get has the Frightened condition until the start of the lion ’s next turn.",,
Lizard,Tiny,Beast,Unaligned,10,+0 (10),2 (1d4),"20 ft., Climb 20 ft.","STR 2, DEX 11, CON 10, INT 1, WIS 8, CHA 3",,,None,0 (XP 10; PB +2),"Traits Spider Climb. The lizar d can climb diﬃcult sur faces, including along ceilings, without needing to make an ability check.","Bite. Melee Attack Roll: +2, r each 5 ft. Hit: 1 Piercing damage.",,
Mastiff,Medium,Beast,Unaligned,12,+2 (12),5 (1d8 + 1),40 ft.,"STR 13, DEX 14, CON 12, INT 3, WIS 12, CHA 7",,Darkvision 60 ft.; P assiv e Perception 15,None,1/8 (XP 25; PB +2),,"Bite. Melee Attack Roll: +3, r each 5 ft. Hit: 4 (1d6 + 1) Piercing damage. If the target is a Medium or smaller creature, it has the Prone condition.",,
Mule,Medium,Beast,Unaligned,10,+0 (10),11 (2d8 + 2),40 ft.,"STR 14, DEX 10, CON 13, INT 2, WIS 10, CHA 5",,,None,1/8 (XP 25; PB +2),Traits Beast of Bur den. The mule counts as one siz e lar ger for the purpose of determining its carr ying capacity .,"Hooves. Melee Attack Roll: +4, r each 5 ft. Hit: 4 (1d4 + 2) Bludgeoning damage.",,
Octopus,Small,Beast,Unaligned,12,+2 (12),3 (1d6),"5 ft., Swim 30 ft.","STR 4, DEX 15, CON 11, INT 3, WIS 10, CHA 4","Perception +2, Stealth +6",Darkvision 30 ft.; P assiv e Perception 12,None,0 (XP 10; PB +2)Traits,Compr ession. The oct opus can mo ve through a space as narrow as 1 inch without expending extr a movement to do so. Water Br eathing. The oct opus can br eathe only under water .,"Tentacles. Melee Attack Roll: +4, r each 5 ft. Hit: 1 Bludgeoning damage.",,"Ink Cloud (1/Da y). Trigger: A creature ends its turn within 5 feet of the oct opus while under water . Response: The octopus r eleases ink that fills a 5-foot Cube center ed on itself, and the oct opus mo ves up to its Swim Speed. The Cube is Heavily Obscur ed for 1 minute or until a str ong current or similar effect disperses the ink.Small Beast, Unaligned"
Owl,Tiny,Beast,Unaligned,11,+1 (11),1 (1d4 - 1),"5 ft., Fly 60 ft.","STR 3, DEX 13, CON 8, INT 2, WIS 12, CHA 7","Perception +5, Stealth +5",Darkvision 120 ft.; P assiv e Perception 15,None,0 (XP 10; PB +2),Traits Flyb y. The owl doesn ’t provoke an Opportunity Attack when it flies out of an enemy ’s reach.,"Talons. Melee Attack Roll: +3, r each 5 ft. Hit: 1 Slashing damage.",,
Panther,Medium,Beast,Unaligned,13,+3 (13),13 (3d8),"50 ft., Climb 40 ft.","STR 14, DEX 16, CON 10, INT 3, WIS 14, CHA 7","Perception +4, Stealth +7",Darkvision 60 ft.; P assiv e Perception 14,None,1/4 (XP 50; PB +2),,"Rend. Melee Attack Roll: +5, r each 5 ft. Hit: 6 (1d6 + 3) Slashing damage.","Nimble Escape. The panther takes the Disengage or Hide action.Medium Beast, Unaligned",
Pon Y,Medium,Beast,Unaligned,10,+0 (10),11 (2d8 + 2),40 ft.,"STR 15, DEX 10, CON 13, INT 2, WIS 11, CHA 7",,,None,1/8 (XP 25; PB +2),,"Hooves. Melee Attack Roll: +4, r each 5 ft. Hit: 4 (1d4 + 2) Bludgeoning damage.",,
Pseudodra Gon,,,,14,+2 (12),10 (3d4 + 3),"15 ft., Fly 60 ft.","STR 6, DEX 15, CON 13, INT 10, WIS 12, CHA 10","Perception +5, Stealth +4","Blindsight 10 ft., Darkvision 60 ft.; P assiv e",Understands Common and Dr aconic but,,Perception 15 can’t speakCR 1/4 (XP 50; PB +2) Traits Magic Resistance. The pseudodr agon has Advantage on saving thr ows against spells and other magical effects.,"Multiattack. The pseudodr agon mak es two Bite attacks. Bite. Melee Attack Roll: +4, r each 5 ft. Hit: 4 (1d4 + 2) Piercing damage. Sting. Constitution Saving Throw: DC 12, one creature the pseudodr agon can see within 5 feet. Failure: 5 (2d4) P oison damage, and the target has the Poisoned condition for 1 hour . While Poisoned, the target also has the Unconscious condition, which ends early if the target takes damage or a creature within 5 feet of it takes an action to wak e it.Tiny Dr agon, Neutral Good",,
Quasit,,,,13,+3 (13),25 (10d4),40 ft.,"STR 5, DEX 17, CON 10, INT 7, WIS 10, CHA 10",Stealth +5,Darkvision 120 ft.; P assiv e Perception 10,"Abyssal, Common",1 (XP 200; PB +2)Traits,"Resistances Cold, Fir e, Lightning Immunities Poison; Poisoned Magic Resistance. The quasit has Advantage on saving throws against spells and other magical effects.","Rend. Melee Attack Roll: +5, r each 5 ft. Hit: 5 (1d4 + 3) Slashing damage, and the target has the Poisoned condition until the star t of the quasit’ s next turn. Invisibility . The quasit casts Invisibility on itself, r equiring no spell components and using Charisma as the spellcasting ability . Scar e (1/Da y). Wisdom Saving Throw: DC 10, one creature within 20 feet. Failure: The tar get has the Frightened condition. A t the end of each of its turns, the target r epeats the sa ve, ending the effect on itself on a success. After 1 minute, it succeeds aut omatically . Shape-Shift. The quasit shape-shifts to resemble a bat (Speed 10 ft., Fly 40 ft.), a centipede (40 ft., Climb 40 ft.), or a toad (40 ft., Swim 40 ft.), or it r eturns to its true form. Its game statistics are the same in each form, ex cept for its Speed. Any equipment it is wearing or carr ying isn’t transformed.Tiny Fiend (Demon), Chaotic Evil QUASIT",,
Rat,Tiny,Beast,Unaligned,10,+0 (10),1 (1d4 - 1),"20 ft., Climb 20 ft.","STR 2, DEX 11, CON 9, INT 2, WIS 10, CHA 4",Perception +2,Darkvision 30 ft.; P assiv e Perception 12,None,0 (XP 10; PB +2),Traits Agile. The r at doesn ’t provoke an Opportunity Attack when it moves out of an enemy ’s reach.,"Bite. Melee Attack Roll: +2, r each 5 ft. Hit: 1 Piercing damage.",,
Raven,Tiny,Beast,Unaligned,12,+2 (12),2 (1d4),"10 ft., Fly 50 ft.","STR 2, DEX 14, CON 10, INT 5, WIS 13, CHA 6",Perception +3,Passiv e Perception 13,None,0 (XP 10; PB +2),"Traits Mimicr y. The r aven can mimic simple sounds it has hear d, such as a whisper or chitter . A hear er can discern the sounds are imitations with a successful DC 10 Wisdom (Insight ) check.","Beak. Melee Attack Roll: +4, r each 5 ft. Hit: 1 Piercing damage.",,
Reef Sh Ark,Medium,Beast,Unaligned,12,+2 (12),22 (4d8 + 4),"5 ft., Swim 30 ft.","STR 14, DEX 15, CON 13, INT 1, WIS 10, CHA 4",Perception +2,Blindsight 30 ft.; P assiv e Perception 12,None,1/2 (XP 100; PB +2),Traits Pack Tactics. The shark has Advantage on an attack roll against a creature if at least one of the shark’ s allies is within 5 feet of the creature and the ally doesn ’t have the Incapacitated condition. Water Br eathing. The shark can br eathe only under water .,"Bite. Melee Attack Roll: +4, r each 5 ft. Hit: 7 (2d4 + 2) Piercing damage.",,
Riding Horse,Large,Beast,Unaligned,11,+1 (11),13 (2d10 + 2),60 ft.,"STR 16, DEX 13, CON 12, INT 2, WIS 11, CHA 7",,,None,1/4 (XP 50; PB +2),,"Hooves. Melee Attack Roll: +5, r each 5 ft. Hit: 7 (1d8 + 3) Bludgeoning damage.",,
Scorpion,Tiny,Beast,Unaligned,11,+0 (10),1 (1d4 - 1),10 ft.,"STR 2, DEX 11, CON 8, INT 1, WIS 8, CHA 2",,,None,0 (XP 10; PB +2),,"Sting. Melee Attack Roll: +2, r each 5 ft. Hit: 1 Pier cing damage plus 3 (1d6) P oison damage.",,
Skele Ton,Medium,Undead,Lawful Evil,14,+3 (13),13 (2d8 + 4),30 ft.,"STR 10, DEX 16, CON 15, INT 6, WIS 8, CHA 5",,Darkvision 60 ft.; P assiv e Perception 9,Understands Common plus one other language,1/4 (XP 50; PB +2),"Vulner abilities BludgeoningImmunities Poison; Exhaustion , Poisoned Gear Shor tbow , Shor tswor d but can ’t speak","Shor tswor d. Melee Attack Roll: +5, r each 5 ft. Hit: 6 (1d6 + 3) Piercing damage. Shor tbow . Ranged Attack Roll: +5, range 80/320 ft. Hit: 6 (1d6 + 3) Pier cing damage.",,
Slaad Tadpole,,,,12,+2 (12),7 (3d4),"30 ft., Burr ow 10 ft.","STR 7, DEX 15, CON 10, INT 3, WIS 5",Stealth +4,Darkvision 60 ft.; P assiv e Perception 7,Understands Slaad but can ’t speak,1/8 (XP 25; PB +2),"CHA3 -4 -4 Resistances Acid, Cold, Fir e, Lightning, Thunder Traits Magic Resistance. The slaad has Advantage on saving throws against spells and other magical effects.","Bite. Melee Attack Roll: +4, r each 5 ft. Hit: 5 (1d6 + 2) Pier cing damage.Tiny Aberr ation, Chaotic Neutral SLAAD TADPOLE",,
Sphin X Of Wonder,Tiny,Celestial,Lawful Good SPHIN X,13,+3 (13),24 (7d4 + 7),"20 ft., Fly 40 ft.","STR 6, DEX 17, CON 13, INT 15, WIS 12, CHA 11","Arcana +4, Religion +4, Stealth +5",Darkvision 60 ft.; P assiv e Perception 11,"Celestial, Common",1 (XP 200; PB +2),"Resistances Necr otic, Psy chic, Radiant Traits Magic Resistance. The sphinx has Advantage on saving throws against spells and other magical effects.","Rend. Melee Attack Roll: +5, r each 5 ft. Hit: 5 (1d4 + 3) Slashing damage plus 7 (2d6) Radiant damage.",,"Burst of Ingenuity (2/Day). Trigger: The sphinx or another creature within 30 feet mak es an ability check or a saving throw. Response: The sphinx adds 2 to the roll.Tiny Celestial, Lawful Good SPHIN X OF WONDER"
Spider,Tiny,Beast,Unaligned,12,+2 (12),1 (1d4 - 1),"20 ft., Climb 20 ft.","STR 2, DEX 14, CON 8, INT 1, WIS 10, CHA 2",Stealth +4,Darkvision 30 ft.; P assiv e Perception 10,None,0 (XP 10; PB +2),"Traits Spider Climb. The spider can climb diﬃcult sur faces, including along ceilings, without needing to make an ability check. Web W alker. The spider ignor es movement r estrictions caused by webs, and the spider knows the location of any other creature in contact with the same web.","Bite. Melee Attack Roll: +4, r each 5 ft. Hit: 1 Pier cing damage plus 2 (1d4) P oison damage.",,
Spri Te,,,,15,+4 (14),10 (4d4),"10 ft., Fly 40 ft.","STR 3, DEX 18, CON 10, INT 14, WIS 13, CHA 11","Perception +3, Stealth +8",Passiv e Perception 13,"Common, Elvish, Sylv an",CR 1/4 (XP 50; PB +2),,"Needle Swor d. Melee Attack Roll: +6, r each 5 ft. Hit: 6 (1d4 + 4) Pier cing damage. Enchanting Bow . Ranged Attack Roll: +6, range 40/160 ft. Hit: 1 Pier cing damage, and the target has the Charmed condition until the star t of the sprite ’s next turn. Hear t Sight. Charisma Saving Throw: DC 10, one creature within 5 feet the sprite can see (Celestials, Fiends, and Undead aut omatically fail the sa ve). Failure: The sprite knows the target’s emotions and alignment. Invisibility . The sprite casts Invisibility on itself, r equiring no spell components and using Charisma as the spellcasting ability .Tiny F ey, Neutral Good SPRI TE",,
Tiger,Large,Beast,Unaligned,13,+3 (13),30 (4d10 + 8),40 ft.,"STR 17, DEX 16, CON 14, INT 3, WIS 12, CHA 8","Perception +3, Stealth +7",Darkvision 60 ft.; P assiv e Perception 13,None,1 (XP 200; PB +2),,"Rend. Melee Attack Roll: +5, r each 5 ft. Hit: 10 (2d6 + 3) Slashing damage. If the target is a Lar ge or smaller creature, it has the Prone condition.","Nimble Escape. The tiger takes the Disengage or Hide action.Large Beast, Unaligned",
Venomous Sn Ake,Tiny,Beast,Unaligned,12,+2 (12),5 (2d4),"30 ft., Swim 30 ft.","STR 2, DEX 15, CON 11, INT 1, WIS 10, CHA 3",,,None,1/8 (XP 25; PB +2),,"Bite. Melee Attack Roll: +4, r each 5 ft. Hit: 4 (1d4 + 2) Piercing damage plus 3 (1d6) P oison damage.",,
Warhorse,Large,Beast,Unaligned,11,+1 (11),19 (3d10 + 3),60 ft.,"STR 18, DEX 12, CON 13, INT 2, WIS 12, CHA 7",,,None,1/2 (XP 100; PB +2),,"Hooves. Melee Attack Roll: +6, r each 5 ft. Hit: 9 (2d4 + 4) Bludgeoning damage. If the target is a Lar ge or smaller creature and the horse mo ved 20+ feet str aight toward it immediately before the hit, the target takes an extr a 5 (2d4) Bludgeoning damage and has the Prone condition.",,
Weasel,Tiny,Beast,Unaligned,13,+3 (13),1 (1d4 - 1),"30 ft., Climb 30 ft.","STR 3, DEX 16, CON 8, INT 2, WIS 12, CHA 3",,Darkvision 60 ft.; P assiv e Perception 13,None,0 (XP 10; PB +2),,"Bite. Melee Attack Roll: +5, r each 5 ft. Hit: 1 Piercing damage.",,
Wolf,Medium,Beast,Unaligned,12,+2 (12),11 (2d8 + 2),40 ft.,"STR 14, DEX 15, CON 12, INT 3, WIS 12, CHA 6","Perception +5, Stealth +4",Darkvision 60 ft.; P assiv e Perception 15,None,1/4 (XP 50; PB +2),Traits Pack Tactics. The wolf has Advantage on attack rolls against a creature if at least one of the wolf ’s allies is within 5 feet of the creature and the ally doesn ’t have the Incapacitated condition.,"Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2) Piercing damage. If the target is a Medium or smaller creature, it has the Prone condition.",,
Zombie,Medium,Undead,Neutral EvilAppendix B,8,,15 (2d8 + 6),20 ft.,"STR 13, DEX 6, CON 16, INT 3, WIS 6, CHA 5",,Darkvision 60 ft.; P assiv e Perception 8,Understands Common plus one other language,1/4 (XP 50; PB +2),"Immunities Poison; Exhaustion , Poisoned but can ’t speak Traits Undead F ortitude. If damage r educes the z ombie to 0 Hit Points, it mak es a Constitution saving throw (DC 5 plus the damage tak en) unless the damage is Radiant or from a Critical Hit. On a successful sa ve, the z ombie dr ops to 1 Hit Point instead.","Slam. Melee Attack Roll: +3, r each 5 ft. Hit: 5 (1d8 + 1) Bludgeoning damage.: creature Stat Blocks Ape Badger Bat Black Bear Boar Brown Bear Camel Cat Constrict or Snak e Crab Crocodile Dire Wolf Draft Horse Elephant Elk Frog Giant Badger Giant Cr ab Giant Goat SOURCES DUNGEONS & DRA GONS PLAYER’S H ANDBOOK CREA TURE ST AT BLOCKS",,
