name,level,school,casting_time,range,components,duration,description
Daylight,3rd,Evocation,1 Action,60 ft.,"V, S",1 Hour,"Control 3rd 1 Action 60 ft. (60 ft. ) V, S 1 Hour Evocation None Control For the duration, sunlight spreads from a point within range and fills a 60-foot-radius Sphere. The sunlight’s area is Bright Light and sheds Dim Light for an additional 60 feet. Alternatively, you cast the spell on an object that isn’t being worn or carried, causing the sunlight to fill a 60-foot Emanation originating from that object. Covering that object with something opaque, such as a bowl or helm, blocks the sunlight. If any of this spell’s area overlaps with an area of Darkness created by a spell of level 3 or lower, that other spell is dispelled."
Death Ward,4th,Abjuration,1 Action,Touch,"V, S",8 Hours,"4th 1 Action Touch V, S 8 Hours Abjuration None Buff (...) You touch a creature and grant it a measure of protection from death. The first time the target would drop to 0 Hit Points before the spell ends, the target instead drops to 1 Hit Point, and the spell ends. If the spell is still in effect when the target is subjected to an effect that would kill it instantly without dealing damage, that effect is negated against the target, and the spell ends."
Delayed Blast Fireball,7th,Concentration,"Evocation • V, S, M",1 Minute,,1 Action,"(20 ft. ) DEX Save Fire (...) 7th 1 Action 150 ft. (20 ft. ) V, S, M * Concentration 1 Minute Evocation DEX Save Fire (...) A beam of yellow light flashes from you, then condenses at a chosen point within range as a glowing bead for the duration. When the spell ends, the bead explodes, and each creature in a 20-foot-radius Sphere centered on that point makes a Dexterity saving throw. A creature takes Fire damage equal to the total accumulated damage on a failed save or half as much damage on a successful one. The spell’s base damage is 12d6, and the damage increases by 1d6 whenever your turn ends and the spell hasn’t ended. If a creature touches the glowing bead before the spell ends, that creature makes a Dexterity saving throw. On a failed save, the spell ends, causing the bead to explode. On a successful save, the creature can throw the bead up to 40 feet. If the thrown bead enters a creature’s space or collides with a solid object, the spell ends, and the bead explodes. When the bead explodes, flammable objects in the explosion that aren’t being worn or carried start burning. Using a Higher-Level Spell Slot. The base damage increases by 1d6 for each spell slot level above 7. * - (a ball of bat guano and sulfur)"
Demiplane,8th,Conjuration,1 Action,60 ft.,S,1 Hour,"8th 1 Action 60 ft. S 1 Hour Conjuration None Utility You create a shadowy Medium door on a flat solid surface that you can see within range. This door can be opened and closed, and it leads to a demiplane that is an empty room 30 feet in each dimension, made of wood or stone (your choice). When the spell ends, the door vanishes, and any objects inside the demiplane remain there. Any creatures inside also remain unless they opt to be shunted through the door as it vanishes, landing with the Prone condition in the unoccupied spaces closest to the door’s former space. Each time you cast this spell, you can create a new demiplane or connect the shadowy door to a demiplane you created with a previous casting of this spell. Additionally, if you know the nature and contents of a demiplane created by a casting of this spell by another creature, you can connect the shadowy door to that demiplane instead."
Destructive Wave,5th,Evocation,1 Action,Self,V,Instantaneous,"CON Save Thunder (...) 5th 1 Action Self (30 ft. ) V Instantaneous Evocation CON Save Thunder (...) Destructive energy ripples outward from you in a 30-foot Emanation. Each creature you choose in the Emanation makes a Constitution saving throw. On a failed save, a target takes 5d6 Thunder damage and 5d6 Radiant or Necrotic damage (your choice) and has the Prone condition. On a successful save, a target takes half as much damage only."
Detect Evil and Good,1st,Concentration,"Divination • V, S",10 Minutes,,1 Action,"(30 ft. ) Detection 1st 1 Action Self (30 ft. ) V, S Concentration 10 Minutes Divination None Detection For the duration, you sense the location of any Aberration, Celestial, Elemental, Fey, Fiend, or Undead within 30 feet of yourself. You also sense whether the Hallow spell is active there and, if so, where. The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead."
Detect Magic,1st,Concentration,Ritual,1 Action,,"Divination • V, S","Self (30 ft. ) Detection 1st 1 Action Ritual Self (30 ft. ) V, S Concentration 10 Minutes Divination None Detection For the duration, you sense the presence of magical effects within 30 feet of yourself. If you sense such effects, you can take the Magic action to see a faint aura around any visible creature or object in the area that bears the magic, and if an effect was created by a spell, you learn the spell’s school of magic. The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead."
Detect Poison and Disease,1st,Concentration,Ritual,1 Action,,"Divination • V, S, M","Self (30 ft. ) Detection 1st 1 Action Ritual Self (30 ft. ) V, S, M * Concentration 10 Minutes Divination None Detection For the duration, you sense the location of poisons, poisonous or venomous creatures, and magical contagions within 30 feet of yourself. You sense the kind of poison, creature, or contagion in each case. The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead. * - (a yew leaf)"
Detect Thoughts,2nd,Concentration,"Divination • V, S, M",1 Minute,,1 Action,"WIS Save Detection (...) 2nd 1 Action Self V, S, M * Concentration 1 Minute Divination WIS Save Detection (...) You activate one of the effects below. Until the spell ends, you can activate either effect as a Magic action on your later turns. Sense Thoughts. You sense the presence of thoughts within 30 feet of yourself that belong to creatures that know languages or are telepathic. You don’t read the thoughts, but you know that a thinking creature is present. The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead. Read Thoughts. Target one creature you can see within 30 feet of yourself or one creature within 30 feet of yourself that you detected with the Sense Thoughts option. You learn what is most on the target’s mind right now. If the target doesn’t know any languages and isn’t telepathic, you learn nothing. As a Magic action on your next turn, you can try to probe deeper into the target’s mind. If you probe deeper, the target makes a Wisdom saving throw. On a failed save, you discern the target’s reasoning, emotions, and something that looms large in its mind (such as a worry, love, or hate). On a successful save, the spell ends. Either way, the target knows that you are probing into its mind, and until you shift your attention away from the target’s mind, the target can take an action on its turn to make an Intelligence (Arcana) check against your spell save DC, ending the spell on a success. * - (1 Copper Piece)"
Dimension Door,4th,Conjuration,1 Action,500 ft.,V,Instantaneous,"4th 1 Action 500 ft. V Instantaneous Conjuration None Teleportation You teleport to a location within range. You arrive at exactly the spot desired. It can be a place you can see, one you can visualize, or one you can describe by stating distance and direction, such as “200 feet straight downward” or “300 feet upward to the northwest at a 45-degree angle.” You can also teleport one willing creature. The creature must be within 5 feet of you when you teleport, and it teleports to a space within 5 feet of your destination space. If you, the other creature, or both would arrive in a space occupied by a creature or completely filled by one or more objects, you and any creature traveling with you each take 4d6 Force damage, and the teleportation fails."
Disguise Self,1st,Illusion,1 Action,Self,"V, S",1 Hour,"1st 1 Action Self V, S 1 Hour Illusion None Shapechanging You make yourself—including your clothing, armor, weapons, and other belongings on your person—look different until the spell ends. You can seem 1 foot shorter or taller and can appear heavier or lighter. You must adopt a form that has the same basic arrangement of limbs as you have. Otherwise, the extent of the illusion is up to you. The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to your outfit, objects pass through the hat, and anyone who touches it would feel nothing. To discern that you are disguised, a creature must take the Study action to inspect your appearance and succeed on an Intelligence (Investigation) check against your spell save DC."
Disintegrate,6th,Transmutation,1 Action,60 ft.,"V, S, M",Instantaneous,"Force 6th 1 Action 60 ft. V, S, M * Instantaneous Transmutation DEX Save Force You launch a green ray at a target you can see within range. The target can be a creature, a nonmagical object, or a creation of magical force, such as the wall created by Wall of Force. A creature targeted by this spell makes a Dexterity saving throw. On a failed save, the target takes 10d6 + 40 Force damage. If this damage reduces it to 0 Hit Points, it and everything nonmagical it is wearing and carrying are disintegrated into gray dust. The target can be revived only by a True Resurrection or a Wish spell. This spell automatically disintegrates a Large or smaller nonmagical object or a creation of magical force. If such a target is Huge or larger, this spell disintegrates a 10-foot-Cube portion of it. Using a Higher-Level Spell Slot. The damage increases by 3d6 for each spell slot level above 6. * - (a lodestone and dust)"
Dispel Evil and Good,5th,Concentration,"Abjuration • V, S, M",1 Minute,,1 Action,"CHA Save Charmed (...) 5th 1 Action Self V, S, M * Concentration 1 Minute Abjuration CHA Save Charmed (...) For the duration, Celestials, Elementals, Fey, Fiends, and Undead have Disadvantage on attack rolls against you. You can end the spell early by using either of the following special functions. Break Enchantment. As a Magic action, you touch a creature that is possessed by or has the Charmed or Frightened condition from one or more creatures of the types above. The target is no longer possessed, Charmed, or Frightened by such creatures. Dismissal. As a Magic action, you target one creature you can see within 5 feet of you that has one of the creature types above. The target must succeed on a Charisma saving throw or be sent back to its home plane if it isn’t there already. If they aren’t on their home plane, Undead are sent to the Shadowfell, and Fey are sent to the Feywild. * - (powdered silver and iron)"
Dispel Magic,3rd,Abjuration,1 Action,120 ft.,"V, S",Instantaneous,"3rd 1 Action 120 ft. V, S Instantaneous Abjuration None Control Choose one creature, object, or magical effect within range. Any ongoing spell of level 3 or lower on the target ends. For each ongoing spell of level 4 or higher on the target, make an ability check using your spellcasting ability (DC 10 plus that spell’s level). On a successful check, the spell ends. Using a Higher-Level Spell Slot. You automatically end a spell on the target if the spell’s level is equal to or less than the level of the spell slot you use."
Dissonant Whispers,1st,Enchantment,1 Action,60 ft.,V,Instantaneous,"Psychic 1st 1 Action 60 ft. V Instantaneous Enchantment WIS Save Psychic One creature of your choice that you can see within range hears a discordant melody in its mind. The target makes a Wisdom saving throw. On a failed save, it takes 3d6 Psychic damage and must immediately use its Reaction, if available, to move as far away from you as it can, using the safest route. On a successful save, the target takes half as much damage only. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1."
Divination,4th,Ritual,"Divination • V, S, M",Instantaneous,,1 Action,"Foreknowledge 4th 1 Action Ritual Self V, S, M * Instantaneous Divination None Foreknowledge This spell puts you in contact with a god or a god’s servants. You ask one question about a specific goal, event, or activity to occur within 7 days. The DM offers a truthful reply, which might be a short phrase or cryptic rhyme. The spell doesn’t account for circumstances that might change the answer, such as the casting of other spells. If you cast the spell more than once before finishing a Long Rest, there is a cumulative 25 percent chance for each casting after the first that you get no answer. * - (incense worth 25+ GP, which the spell consumes)"
Divine Favor,1st,Transmutation,1 Bonus Action,Self,"V, S",1 Minute,"1st 1 Bonus Action Self V, S 1 Minute Transmutation None Radiant Until the spell ends, your attacks with weapons deal an extra 1d4 Radiant damage on a hit."
Divine Smite,1st,Evocation,1 Bonus Action *,Self,V,Instantaneous,1st 1 Bonus Action * Self V Instantaneous Evocation None Radiant The target takes an extra 2d8 Radiant damage from the attack. The damage increases by 1d8 if the target is a Fiend or an Undead. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1. * - Which you take immediately after hitting a target with a Melee weapon or an Unarmed Strike
Divine Word,7th,Evocation,1 Bonus Action,30 ft.,V,Instantaneous,"Deafened (...) 7th 1 Bonus Action 30 ft. V Instantaneous Evocation CHA Save Deafened (...) You utter a word imbued with power from the Upper Planes. Each creature of your choice in range makes a Charisma saving throw. On a failed save, a target that has 50 Hit Points or fewer suffers an effect based on its current Hit Points, as shown in the Divine Word Effects table. Regardless of its Hit Points, a Celestial, an Elemental, a Fey, or a Fiend target that fails its save is forced back to its plane of origin (if it isn’t there already) and can’t return to the current plane for 24 hours by any means short of a Wish spell. Divine Word Effects Hit Points	Effect 0–20	The target dies. 21–30	The target has the Blinded, Deafened, and Stunned conditions for 1 hour. 31–40	The target has the Blinded and Deafened conditions for 10 minutes. 41–50	The target has the Deafened condition for 1 minute."
Dominate Beast,4th,Concentration,"Enchantment • V, S",1 Minute,,1 Action,"WIS Save Charmed 4th 1 Action 60 ft. V, S Concentration 1 Minute Enchantment WIS Save Charmed One Beast you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target has Advantage on the save if you or your allies are fighting it. Whenever the target takes damage, it repeats the save, ending the spell on itself on a success. You have a telepathic link with the Charmed target while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action required), such as “Attack that creature,” “Move over there,” or “Fetch that object.” The target does its best to obey on its turn. If it completes an order and doesn’t receive further direction from you, it acts and moves as it likes, focusing on protecting itself. You can command the target to take a Reaction but must take your own Reaction to do so. Using a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 5 (up to 10 minutes), 6 (up to 1 hour), or 7+ (up to 8 hours)."
Dominate Monster,8th,Concentration,"Enchantment • V, S",1 Hour,,1 Action,"WIS Save Charmed 8th 1 Action 60 ft. V, S Concentration 1 Hour Enchantment WIS Save Charmed One creature you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target has Advantage on the save if you or your allies are fighting it. Whenever the target takes damage, it repeats the save, ending the spell on itself on a success. You have a telepathic link with the Charmed target while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action required), such as “Attack that creature,” “Move over there,” or “Fetch that object.” The target does its best to obey on its turn. If it completes an order and doesn’t receive further direction from you, it acts and moves as it likes, focusing on protecting itself. You can command the target to take a Reaction but must take your own Reaction to do so. Using a Higher-Level Spell Slot. Your Concentration can last longer with a level 9 spell slot (up to 8 hours)."
Dominate Person,5th,Concentration,"Enchantment • V, S",1 Minute,,1 Action,"WIS Save Charmed 5th 1 Action 60 ft. V, S Concentration 1 Minute Enchantment WIS Save Charmed One Humanoid you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target has Advantage on the save if you or your allies are fighting it. Whenever the target takes damage, it repeats the save, ending the spell on itself on a success. You have a telepathic link with the Charmed target while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action required), such as “Attack that creature,” “Move over there,” or “Fetch that object.” The target does its best to obey on its turn. If it completes an order and doesn’t receive further direction from you, it acts and moves as it likes, focusing on protecting itself. You can command the target to take a Reaction but must take your own Reaction to do so. Using a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 6 (up to 10 minutes), 7 (up to 1 hour), or 8+ (up to 8 hours)."
Dragon's Breath,2nd,Concentration,"Transmutation • V, S, M",1 Minute,,1 Bonus Action,"(15 ft. ) DEX Save Acid (...) 2nd 1 Bonus Action Touch (15 ft. ) V, S, M * Concentration 1 Minute Transmutation DEX Save Acid (...) You touch one willing creature, and choose Acid, Cold, Fire, Lightning, or Poison. Until the spell ends, the target can take a Magic action to exhale a 15-foot Cone. Each creature in that area makes a Dexterity saving throw, taking 3d6 damage of the chosen type on a failed save or half as much damage on a successful one. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2. * - (a hot pepper)"
Drawmij's Instant Summons,6th,Ritual,"Conjuration • V, S, M",Until Dispelled,,1 Minute,"Detection (...) 6th 1 Minute Ritual Touch V, S, M * Until Dispelled Conjuration None Detection (...) You touch the sapphire used in the casting and an object weighing 10 pounds or less whose longest dimension is 6 feet or less. The spell leaves an Invisible mark on that object and invisibly inscribes the object’s name on the sapphire. Each time you cast this spell, you must use a different sapphire. Thereafter, you can take a Magic action to speak the object’s name and crush the sapphire. The object instantly appears in your hand regardless of physical or planar distances, and the spell ends. If another creature is holding or carrying the object, crushing the sapphire doesn’t transport it, but instead you learn who that creature is and where that creature is currently located. * - (a sapphire worth 1,000+ GP)"
Dream,5th,Illusion,1 Minute,10 ft.,"V, S, M",Special,"Communication (...) 5th 1 Minute 10 ft. V, S, M * Special Illusion WIS Save Communication (...) You target a creature you know on the same plane of existence. You or a willing creature you touch enters a trance state to act as a dream messenger. While in the trance, the messenger is Incapacitated and has a Speed of 0. If the target is asleep, the messenger appears in the target’s dreams and can converse with the target as long as it remains asleep, through the spell’s duration. The messenger can also shape the dream’s environment, creating landscapes, objects, and other images. The messenger can emerge from the trance at any time, ending the spell. The target recalls the dream perfectly upon waking. If the target is awake when you cast the spell, the messenger knows it and can either end the trance (and the spell) or wait for the target to sleep, at which point the messenger enters its dreams. You can make the messenger terrifying to the target. If you do so, the messenger can deliver a message of no more than ten words, and then the target makes a Wisdom saving throw. On a failed save, the target gains no benefit from its rest, and it takes 3d6 Psychic damage when it wakes up. * - (a handful of sand)"
Druidcraft,Cantrip,Transmutation,1 Action,30 ft.,"V, S",Instantaneous,"Cantrip 1 Action 30 ft. V, S Instantaneous Transmutation None Utility Whispering to the spirits of nature, you create one of the following effects within range. Weather Sensor. You create a Tiny, harmless sensory effect that predicts what the weather will be at your location for the next 24 hours. The effect might manifest as a golden orb for clear skies, a cloud for rain, falling snowflakes for snow, and so on. This effect persists for 1 round. Bloom. You instantly make a flower blossom, a seed pod open, or a leaf bud bloom. Sensory Effect. You create a harmless sensory effect, such as falling leaves, spectral dancing fairies, a gentle breeze, the sound of an animal, or the faint odor of skunk. The effect must fit in a 5-foot Cube. Fire Play. You light or snuff out a candle, a torch, or a campfire."
Earthquake,8th,Concentration,"Transmutation • V, S, M",1 Minute,,1 Action,"DEX Save Bludgeoning 8th 1 Action 500 ft. V, S, M * Concentration 1 Minute Transmutation DEX Save Bludgeoning Choose a point on the ground that you can see within range. For the duration, an intense tremor rips through the ground in a 100-foot-radius circle centered on that point. The ground there is Difficult Terrain. When you cast this spell and at the end of each of your turns for the duration, each creature on the ground in the area makes a Dexterity saving throw. On a failed save, a creature has the Prone condition, and its Concentration is broken. You can also cause the effects below. Fissures. A total of 1d6 fissures open in the spell’s area at the end of the turn you cast it. You choose the fissures’ locations, which can’t be under structures. Each fissure is 1d10 × 10 feet deep and 10 feet wide, and it extends from one edge of the spell’s area to another edge. A creature in the same space as a fissure must succeed on a Dexterity saving throw or fall in. A creature that successfully saves moves with the fissure’s edge as it opens. Structures. The tremor deals 50 Bludgeoning damage to any structure in contact with the ground in the area when you cast the spell and at the end of each of your turns until the spell ends. If a structure drops to 0 Hit Points, it collapses. A creature within a distance from a collapsing structure equal to half the structure’s height makes a Dexterity saving throw. On a failed save, the creature takes 12d6 Bludgeoning damage, has the Prone condition, and is buried in the rubble, requiring a DC 20 Strength (Athletics) check as an action to escape. On a successful save, the creature takes half as much damage only. * - (a fractured rock)"
Eldritch Blast,Cantrip,Evocation,1 Action,120 ft.,"V, S",Instantaneous,"Force Cantrip 1 Action 120 ft. V, S Instantaneous Evocation Ranged Force You hurl a beam of crackling energy. Make a ranged spell attack against one creature or object in range. On a hit, the target takes 1d10 Force damage. Cantrip Upgrade. The spell creates two beams at level 5, three beams at level 11, and four beams at level 17. You can direct the beams at the same target or at different ones. Make a separate attack roll for each beam."
Elemental Weapon,3rd,Concentration,"Transmutation • V, S",1 Hour,,1 Action,"Acid (...) 3rd 1 Action Touch V, S Concentration 1 Hour Transmutation None Acid (...) A nonmagical weapon you touch becomes a magic weapon. Choose one of the following damage types: Acid, Cold, Fire, Lightning, or Thunder. For the duration, the weapon has a +1 bonus to attack rolls and deals an extra 1d4 damage of the chosen type when it hits. Using a Higher-Level Spell Slot. If you use a level 5–6 spell slot, the bonus to attack rolls increases to +2, and the extra damage increases to 2d4. If you use a level 7+ spell slot, the bonus increases to +3, and the extra damage increases to 3d4."
Elementalism,Cantrip,Transmutation,1 Action,30 ft.,"V, S",Instantaneous,"Cantrip 1 Action 30 ft. (5 ft.  *) V, S Instantaneous Transmutation None You exert control over the elements, creating one of the following effects within range. Beckon Air. You create a breeze strong enough to ripple cloth, stir dust, rustle leaves, and close open doors and shutters, all in a 5-foot Cube. Doors and shutters being held open by someone or something aren’t affected. Beckon Earth. You create a thin shroud of dust or sand that covers surfaces in a 5-foot-square area, or you cause a single word to appear in your handwriting in a patch of dirt or sand. Beckon Fire. You create a thin cloud of harmless embers and colored, scented smoke in a 5-foot Cube. You choose the color and scent, and the embers can light candles, torches, or lamps in that area. The smoke’s scent lingers for 1 minute. Beckon Water. You create a spray of cool mist that lightly dampens creatures and objects in a 5-foot Cube. Alternatively, you create 1 cup of clean water either in an open container or on a surface, and the water evaporates in 1 minute. Sculpt Element. You cause dirt, sand, fire, smoke, mist, or water that can fit in a 1-foot Cube to assume a crude shape (such as that of a creature) for 1 hour."
Enhance Ability,2nd,Concentration,"Transmutation • V, S, M",1 Hour,,1 Action,"Buff 2nd 1 Action Touch V, S, M * Concentration 1 Hour Transmutation None Buff You touch a creature and choose Strength, Dexterity, Intelligence, Wisdom, or Charisma. For the duration, the target has Advantage on ability checks using the chosen ability. Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2. You can choose a different ability for each target. * - (fur or a feather)"
Enlarge/Reduce,2nd,Concentration,"Transmutation • V, S, M",1 Minute,,1 Action,"CON Save Buff 2nd 1 Action 30 ft. V, S, M * Concentration 1 Minute Transmutation CON Save Buff For the duration, the spell enlarges or reduces a creature or an object you can see within range (see the chosen effect below). A targeted object must be neither worn nor carried. If the target is an unwilling creature, it can make a Constitution saving throw. On a successful save, the spell has no effect. Everything that a targeted creature is wearing and carrying changes size with it. Any item it drops returns to normal size at once. A thrown weapon or piece of ammunition returns to normal size immediately after it hits or misses a target. Enlarge. The target’s size increases by one category—from Medium to Large, for example. The target also has Advantage on Strength checks and Strength saving throws. The target’s attacks with its enlarged weapons or Unarmed Strikes deal an extra 1d4 damage on a hit. Reduce. The target’s size decreases by one category—from Medium to Small, for example. The target also has Disadvantage on Strength checks and Strength saving throws. The target’s attacks with its reduced weapons or Unarmed Strikes deal 1d4 less damage on a hit (this can’t reduce the damage below 1). * - (a pinch of powdered iron)"
Ensnaring Strike,1st,Concentration,Conjuration • V,1 Minute,,1 Bonus Action *,"STR Save Piercing 1st 1 Bonus Action * Self V Concentration 1 Minute Conjuration STR Save Piercing As you hit the target, grasping vines appear on it, and it makes a Strength saving throw. A Large or larger creature has Advantage on this save. On a failed save, the target has the Restrained condition until the spell ends. On a successful save, the vines shrivel away, and the spell ends. While Restrained, the target takes 1d6 Piercing damage at the start of each of its turns. The target or a creature within reach of it can take an action to make a Strength (Athletics) check against your spell save DC. On a success, the spell ends. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1. * - which you take immediately after hitting a creature with a weapon"
Entangle,1st,Concentration,"Conjuration • V, S",1 Minute,,1 Action,"(20 ft. ) STR Save Restrained 1st 1 Action 90 ft. (20 ft. ) V, S Concentration 1 Minute Conjuration STR Save Restrained Grasping plants sprout from the ground in a 20-foot square within range. For the duration, these plants turn the ground in the area into Difficult Terrain. They disappear when the spell ends. Each creature (other than you) in the area when you cast the spell must succeed on a Strength saving throw or have the Restrained condition until the spell ends. A Restrained creature can take an action to make a Strength (Athletics) check against your spell save DC. On a success, it frees itself from the grasping plants and is no longer Restrained by them."
Enthrall,2nd,Concentration,"Enchantment • V, S",1 Minute,,1 Action,"WIS Save Control 2nd 1 Action 60 ft. V, S Concentration 1 Minute Enchantment WIS Save Control You weave a distracting string of words, causing creatures of your choice that you can see within range to make a Wisdom saving throw. Any creature you or your companions are fighting automatically succeeds on this save. On a failed save, a target has a −10 penalty to Wisdom (Perception) checks and Passive Perception until the spell ends."
