name,level,school,casting_time,range,components,duration,description
Detect Magic,1st,Divination,Action or Ritual,Self,"V, S","Concentration , up to 10 minutes","For the dur ation, you sense the pr esence of magical effects within 30 feet of y ourself. If you sense such effects, you can take the Magic action to see a faint aur a around any visible creature or object in the area that bears the magic, and if an effect was created by a spell, you learn the spell’ s school of magic. The spell is blocked by 1 foot of st one, dir t, or wood; 1 inch of metal; or a thin sheet of lead."
Detect Poison and Disease,1st,Divination,Action or Ritual,Self,"V, S, M (a y ew leaf )","Concentration , up to 10 minutes","For the dur ation, you sense the location of poisons, poisonous or v enomous creatures, and magical contagions within 30 feet of y ourself. you sense the kind of poison, creature, or contagion in each case. The spell is blocked by 1 foot of st one, dir t, or wood; 1 inch of metal; or a thin sheet of lead."
Detect Thoughts,2nd,Divination,Action,Self,"V, S, M (1 Copper Piece)","Concentration , up to 1 minute","You activ ate one of the effects below . Until the spell ends, you can activ ate either effect as a Magic action on your later turns. Sense Thoughts. You sense the pr esence of thoughts within 30 feet of y ourself that belong to creatures that know languages or are telepathic. you don ’t read the thoughts, but you know that a thinking creature is pr esent. The spell is blocked by 1 foot of st one, dir t, or wood; 1 inch of metal; or a thin sheet of lead. Read Thoughts. Target one creature you can see within 30 feet of y ourself or one creature within 30 feet of y ourself that you detected with the Sense Thoughts option. you learn what is most on the target’s mind right now . If the target doesn ’t know any languages and isn ’t telepathic, you learn nothing. As a Magic action on your next turn, you can tr y to probe deeper into the target’s mind. If you pr obe deeper , the target mak es a Wisdom sa ving throw. On a failed sa ve, you discern the target’s reasoning, emotions, and something that looms lar ge in its mind (such as a worr y, love, or hate). On a successful sa ve, the spell ends. Either wa y, the target knows that you are probing into its mind, and until you shift your attention awa y from the target’s mind, the target can take an action on its turn to make an Intelligence ( Arcana ) check against your spell sa ve DC, ending the spell on a success."
Dimension Door,4th,Conjuration,Action,500 feet,V,Instantaneous,"You telepor t to a location within range. you arriv e at exactly the spot desir ed. It can be a place you can see, one you can visualiz e, or one you can describe by stating distance and dir ection, such as “200 feet str aight downwar d” or “300 feet upwar d to the nor thwest at a 45-degr ee angle. ” You can also telepor t one willing creature. The creature must be within 5 feet of you when you telepor t, and it telepor ts to a space within 5 feet of your destination space. If you, the other creature, or both would arriv e in a space occupied by a creature or completely filled by one or more objects, you and any creature traveling with you each take 4d6 F orce damage, and the telepor tation fails."
Disguise Self,1st,Illusion,Action,Self,"V, S",1 hour,"You make yourself—including your clothing, armor , weapons, and other belongings on your person—look diff erent until the spell ends. you can seem 1 foot shor ter or taller and can appear hea vier or lighter . You must adopt a form that has the same basic arr angement of limbs as you have. Other wise, the extent of the illusion is up to you. The changes wr ought by this spell fail to hold up to physical inspection. for example, if you use this spell to add a hat to your outfit, objects pass through the hat, and any one who t ouches it would f eel nothing. To discern that you are disguised, a creature must take the Study action to inspect your appear ance and succeed on an Intelligence ( Investigation ) check against your spell sa ve DC."
Disintegrate,6th,Transmutation,Action,60 feet,"V, S, M (a lodest one and dust)",Instantaneous,"You launch a gr een r ay at a target you can see within range. The tar get can be a creature, a nonmagical object, or a creation of magical for ce, such as the wall cr eated by Wall of F orce. A creature tar geted by this spell mak es a Dexterity saving throw. On a failed sa ve, the target takes 10d6 + 40 F orce damage. If this damage r educes it to 0 Hit Points, it and e verything nonmagical it is wearing and carr ying are disintegr ated into gray dust. The tar get can be r evived only by a True Resurr ection or a Wish spell. This spell aut omatically disintegr ates a Lar ge or smaller nonmagical object or a cr eation of magical for ce. If such a target is Huge or lar ger, this spell disintegr ates a 10-foot- Cube portion of it. Using a Higher-Le vel Spell Slot. The damage incr eases by 3d6 for each spell slot le vel abo ve 6."
Dispel Evil and Good,5th,Abjuration,Action,Self,"V, S, M (powder ed silv er and ir on)","Concentration , up to 1 minute","For the dur ation, Celestials, Elementals, F ey, Fiends, and Undead have Disadvantage on attack rolls against you. you can end the spell early by using either of the following special functions. Break Enchantment. As a Magic action, you touch a creature that is possessed by or has the Charmed or Frightened condition from one or more creatures of the types abo ve. The tar get is no longer possessed, Charmed, or Frightened by such creatures. Dismissal. As a Magic action, you target one creature you can see within 5 feet of you that has one of the creature types above. The tar get must succeed on a Charisma sa ving throw or be sent back to its home plane if it isn ’t there alr eady . If they aren’t on their home plane, Undead are sent to the Shadowfell, and F ey are sent to the F eywild."
Dispel Magic,3rd,Abjuration,Action,120 feet,"V, S",Instantaneous,"Choose one creature, object, or magical effect within range. Any ongoing spell of le vel 3 or lower on the target ends. for each ongoing spell of le vel 4 or higher on the target, make an ability check using your spellcasting ability (DC 10 plus that spell’ s level). On a successful check, the spell ends. Using a Higher-Le vel Spell Slot. You aut omatically end a spell on the target if the spell’ s level is equal to or less than the level of the spell slot you use."
Dissonant Whispers,1st,Enchantment,Action,60 feet,V,Instantaneous,"One creature of your choice that you can see within range hears a discor dant melody in its mind. The tar get mak es a Wisdom sa ving throw. On a failed sa ve, it takes 3d6 Psy chic damage and must immediately use its Reaction, if a vailable, to mo ve as far awa y from you as it can, using the saf est r oute. On a successful sa ve, the target takes half as much damage only . Using a Higher-Le vel Spell Slot. The damage incr eases by 1d6 for each spell slot le vel abo ve 1."
Divination,4th,Divination,Action or Ritual,Self,"V, S, M (incense wor th 25+ GP , which the spell consumes)",Instantaneous,"This spell puts you in contact with a god or a god’ s ser vants. you ask one question about a specific goal, e vent, or activity to occur within 7 da ys. The DM off ers a truthful r eply, which might be a shor t phr ase or cr yptic rhyme. The spell doesn ’t account for cir cumstances that might change the answer , such as the casting of other spells. If you cast the spell more than once before finishing a Long Rest , there is a cumulativ e 25 per cent chance for each casting after the first that you get no answer ."
Divine Favor,1st,Transmutation,Bonus Action,Self,"V, S",1 minute,"Until the spell ends, your attacks with weapons deal an extr a 1d4 Radiant damage on a hit."
Divine Smite,1st,Evocation,"Bonus Action, which you take immediately after hitting a target with a Melee weapon or an Unarmed",,,,Strik e Component: V The tar get takes an extr a 2d8 Radiant damage from the attack. The damage incr eases by 1d8 if the target is a Fiend or an Undead. Using a Higher-Le vel Spell Slot. The damage incr eases by 1d8 for each spell slot le vel abo ve 1.
Divine Word,7th,Evocation,Bonus Action,30 feet,V,Instantaneous,"You utter a wor d imbued with power from the Upper Planes. Each creature of your choice in range mak es a Charisma saving throw. On a failed sa ve, a target that has 50 Hit Points or f ewer suff ers an effect based on its curr ent Hit Points, as shown in the Divine W ord Effects table. Regar dless of its Hit Points, a Celestial, an Elemental, a F ey, or a Fiend tar get that fails its sa ve is for ced back to its plane of origin (if it isn ’t there alr eady) and can ’t return to the curr ent plane for 24 hours by any means shor t of a Wish spell. Divine W ord Effects Hit Points Effect 0–20 The tar get dies. 21–30 The tar get has the Blinded , Deaf ened , and Stunned conditions for 1 hour . 31–40 The tar get has the Blinded and Deaf ened conditions for 10 minutes. 41–50 The tar get has the Deaf ened condition for 1 minute."
Dominate Beast,4th,Enchantment,Action,60 feet,"V, S","Concentration , up to 1 minute","One Beast you can see within range must succeed on a Wisdom sa ving throw or have the Charmed condition for the duration. The tar get has Advantage on the sa ve if you or your allies are fighting it. Whene ver the target takes damage, it repeats the sa ve, ending the spell on itself on a success. You have a telepathic link with the Charmed tar get while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action r equir ed), such as “ Attack that creature,” “Mo ve over there,” or “F etch that object. ” The tar get does its best to obe y on its turn. If it completes an or der and doesn ’t receiv e fur ther dir ection from you, it acts and mo ves as it lik es, focusing on pr otecting itself. You can command the target to take a Reaction but must take your own Reaction to do so. Using a Higher-Le vel Spell Slot. Your Concentration can last longer with a spell slot of le vel 5 (up to 10 minutes), 6 (up to 1 hour), or 7+ (up to 8 hours)."
Dominate Monster,8th,Enchantment,Action,60 feet,"V, S","Concentration , up to 1 hour","One creature you can see within range must succeed on a Wisdom sa ving throw or have the Charmed condition for the duration. The tar get has Advantage on the sa ve if you or your allies are fighting it. Whene ver the target takes damage, it repeats the sa ve, ending the spell on itself on a success. You have a telepathic link with the Charmed tar get while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action r equir ed), such as “ Attack that creature,” “Mo ve over there,” or “F etch that object. ” The tar get does its best to obe y on its turn. If it completes an or der and doesn ’t receiv e fur ther dir ection from you, it acts and mo ves as it lik es, focusing on pr otecting itself. You can command the target to take a Reaction but must take your own Reaction to do so. Using a Higher-Le vel Spell Slot. Your Concentration can last longer with a le vel 9 spell slot (up to 8 hours)."
Dominate Person,5th,Enchantment,Action,60 feet,"V, S","Concentration , up to 1 minute","One Humanoid you can see within range must succeed on a Wisdom sa ving throw or have the Charmed condition for the dur ation. The tar get has Advantage on the sa ve if you or your allies are fighting it. Whene ver the target takes damage, it r epeats the sa ve, ending the spell on itself on a success. You have a telepathic link with the Charmed tar get while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action r equir ed), such as “ Attack that creature,” “Mo ve over there,” or “F etch that object. ” The tar get does its best to obe y on its turn. If it completes an or der and doesn ’t receiv e fur ther dir ection from you, it acts and mo ves as it lik es, focusing on pr otecting itself. You can command the target to take a Reaction but must take your own Reaction to do so. Using a Higher-Le vel Spell Slot. Your Concentration can last longer with a spell slot of le vel 6 (up to 10 minutes), 7 (up to 1 hour), or 8+ (up to 8 hours)."
Dragon's Breath,2nd,Transmutation,Bonus Action,Touch,"V, S, M (a hot pepper)","Concentration , up to 1 minute","You touch one willing creature, and choose Acid, Cold, Fir e, Lightning, or P oison. Until the spell ends, the target can take a Magic action to exhale a 15-foot Cone . Each creature in that area mak es a Dexterity saving throw, taking 3d6 damage of the chosen type on a failed sa ve or half as much damage on a successful one. Using a Higher-Le vel Spell Slot. The damage incr eases by 1d6 for each spell slot le vel abo ve 2."
Drawmij's Instant Summons,6th,Conjuration,1 minute or Ritual,Touch,"V, S, M (a sapphir e wor th 1,000+ GP)",Until dispelled,"You touch the sapphir e used in the casting and an object weighing 10 pounds or less whose longest dimension is 6 feet or less. The spell lea ves an Invisible mark on that object and invisibly inscribes the object’ s name on the sapphir e. Each time you cast this spell, you must use a diff erent sapphir e. Ther eafter , you can take a Magic action to speak the object’ s name and crush the sapphir e. The object instantly appears in your hand r egar dless of physical or planar distances, and the spell ends. If another creature is holding or carr ying the object, crushing the sapphir e doesn ’t transpor t it, but instead you learn who that creature is and wher e that creature is curr ently located."
Dream,5th,Illusion,1 minute,Special,"V, S, M (a handful of sand)",8 hours,"You tar get a creature you know on the same plane of existence. you or a willing creature you touch enters a tr ance state to act as a dr eam messenger . While in the tr ance, the messenger is Incapacitated and has a Speed of 0. If the target is asleep, the messenger appears in the target’s dreams and can conv erse with the target as long as it remains asleep, through the spell’ s dur ation. The messenger can also shape the dr eam ’s envir onment, cr eating landscapes, objects, and other images. The messenger can emer ge from the tr ance at any time, ending the spell. The target r ecalls the dr eam per fectly upon waking. If the target is awak e when you cast the spell, the messenger knows it and can either end the tr ance (and the spell) or wait for the target to sleep, at which point the messenger enters its dr eams. You can make the messenger terrifying to the target. If you do so, the messenger can deliv er a message of no more than ten wor ds, and then the target mak es a Wisdom sa ving throw. On a failed sa ve, the target gains no benefit from its rest, and it takes 3d6 Psy chic damage when it wak es up."
Druidcraft,Cantrip,Transmutation,Action,30 feet,"V, S",Instantaneous,"Whispering to the spirits of natur e, you cr eate one of the following effects within range. Weather Sensor . You cr eate a Tiny, harmless sensor y effect that pr edicts what the weather will be at your location for the next 24 hours. The effect might manif est as a golden orb for clear skies, a cloud for r ain, falling snowflak es for snow , and so on. This effect persists for 1 r ound. Bloom. You instantly make a flower blossom, a seed pod open, or a leaf bud bloom. Sensor y Effect. You cr eate a harmless sensor y effect, such as falling lea ves, spectr al dancing fairies, a gentle br eeze, the sound of an animal, or the faint odor of skunk. The effect must fit in a 5-foot Cube . Fire Pla y. You light or snuff out a candle, a t orch, or a campfir e. Spells (E)"
Earthquake,8th,Transmutation,Action,500 feet,"V, S, M (a fr actur ed rock)","Concentration , up to 1 minute","Choose a point on the gr ound that you can see within range. for the dur ation, an intense tr emor rips through the gr ound in a 100-foot-r adius cir cle center ed on that point. The gr ound there is Diﬃcult Terrain. When you cast this spell and at the end of each of your turns for the dur ation, each creature on the gr ound in the area mak es a Dexterity saving throw. On a failed sa ve, a creature has the Prone condition, and its Concentration is br oken. You can also cause the effects below . Fissur es. A total of 1d6 fissur es open in the spell’ s area at the end of the turn you cast it. you choose the fissur es’ locations, which can ’t be under structur es. Each fissur e is 1d10 × 10 feet deep and 10 feet wide, and it extends from one edge of the spell’ s area to another edge. A creature in the same space as a fissur e must succeed on a Dexterity saving throw or fall in. A creature that successfully sa ves mo ves with the fissur e’s edge as it opens. Structur es. The tr emor deals 50 Bludgeoning damage to any structur e in contact with the gr ound in the area when you cast the spell and at the end of each of your turns until the spell ends. If a structur e drops to 0 Hit Points, it collapses. A creature within a distance from a collapsing structur e equal to half the structur e’s height mak es a Dexterity saving throw. On a failed sa ve, the creature takes 12d6 Bludgeoning damage, has the Prone condition, and is buried in the rubble, r equiring a DC 20 Strength ( Athletics ) check as an action to escape. On a successful sa ve, the creature takes half as much damage only ."
Eldritch Blast,Cantrip,Evocation,Action,120 feet,"V, S",Instantaneous,"You hurl a beam of cr ackling energy. Make a ranged spell attack against one creature or object in range. On a hit, the"
Elementalism,Cantrip,Transmutation,Action,30 feet,"V, S",Instantaneous,"You ex ert contr ol over the elements, cr eating one of the following effects within range. Beckon Air . You cr eate a br eeze str ong enough to ripple cloth, stir dust, rustle lea ves, and close open doors and shutters, all in a 5-foot Cube . Doors and shutters being held open by someone or something ar en’t affected. Beckon Ear th. You cr eate a thin shr oud of dust or sand that co vers sur faces in a 5-foot-squar e area, or you cause a single wor d to appear in your handwriting in a patch of dir t or sand. Beckon Fir e. You cr eate a thin cloud of harmless embers and color ed, scented smok e in a 5-foot Cube . You choose the color and scent, and the embers can light candles, t orches, or lamps in that area. The smok e’s scent lingers for 1 minute. Beckon W ater. You cr eate a spr ay of cool mist that lightly dampens creatures and objects in a 5-foot Cube . Alternativ ely, you cr eate 1 cup of clean water either in an open container or on a sur face, and the water e vapor ates in 1 minute. Sculpt Element. You cause dir t, sand, fir e, smok e, mist, or water that can fit in a 1-foot Cube to assume a crude shape (such as that of a creature) for 1 hour ."
Elemental Weapon,3rd,Transmutation,Action,Touch,"V, S","Concentration , up to 1 hour","A nonmagical weapon you touch becomes a magic weapon. Choose one of the following damage types: Acid, Cold, Fir e, Lightning, or Thunder . For the dur ation, the weapon has a +1 bonus to attack rolls and deals an extr a 1d4 damage of the chosen type when it hits. Using a Higher-Le vel Spell Slot. If you use a le vel 5–6 spell slot, the bonus to attack rolls incr eases to +2, and the extr a damage incr eases to 2d4. If you use a le vel 7+ spell slot, the bonus incr eases to +3, and the extr a damage incr eases to 3d4."
Enhance Ability,2nd,Transmutation,Action,Touch,"V, S, M (fur or a f eather)","Concentration , up to 1 hour","You touch a creature and choose Strength, Dexterity , Intelligence, Wisdom, or Charisma. for the dur ation, the target has Advantage on ability checks using the chosen ability . Using a Higher-Le vel Spell Slot. You can target one additional creature for each spell slot le vel abo ve 2. you can choose a diff erent ability for each tar get."
Enlarge/Reduce,2nd,Transmutation,Action,30 feet,"V, S, M (a pinch of powder ed ir on)","Concentration , up to 1 minute","For the dur ation, the spell enlar ges or r educes a creature or an object you can see within range (see the chosen effect below). A tar geted object must be neither worn nor carried. If the target is an unwilling creature, it can make a Constitution saving throw. On a successful sa ve, the spell has no effect. Everything that a tar geted creature is wearing and carr ying changes siz e with it. Any item it dr ops r eturns to normal siz e at once. A thr own weapon or piece of ammunition r eturns to normal siz e immediately after it hits or misses a target. Enlar ge. The tar get’s siz e incr eases by one categor y—from Medium to Lar ge, for example. The tar get also has Advantage on Strength checks and Strength saving throws. The tar get’s attacks with its enlar ged weapons or Unarmed Strik es deal an extr a 1d4 damage on a hit. Reduce. The tar get’s siz e decr eases by one categor y—from Medium to Small, for example. The tar get also has Disadvantage on Strength checks and Strength saving throws. The tar get’s attacks with its r educed weapons or Unarmed Strik es deal 1d4 less damage on a hit (this can ’t reduce the damage below 1)."
Ensnaring Strike,1st,Conjuration,"Bonus Action, which you take immediately after hitting a creature with a weapon",Self,V,"Concentration , up to 1 minute","As you hit the target, gr asping vines appear on it, and it mak es a Strength saving throw. A Lar ge or lar ger creature has Advantage on this sa ve. On a failed sa ve, the target has the Restrained condition until the spell ends. On a successful save, the vines shriv el awa y, and the spell ends. While Restrained, the target takes 1d6 Pier cing damage at the star t of each of its turns. The tar get or a creature within reach of it can take an action to make a Strength ( Athletics ) check against your spell sa ve DC. On a success, the spell ends. Using a Higher-Le vel Spell Slot. The damage incr eases by 1d6 for each spell slot le vel abo ve 1."
Entangle,1st,Conjuration,Action,90 feet,"V, S","Concentration , up to 1 minute","Grasping plants spr out from the gr ound in a 20-foot squar e within range. for the dur ation, these plants turn the gr ound in the area into Diﬃcult Terrain. They disappear when the spell ends. Each creature (other than you) in the area when you cast the spell must succeed on a Strength saving throw or have the Restrained condition until the spell ends. A Restrained creature can take an action to make a Strength ( Athletics ) check against your spell sa ve DC. On a success, it fr ees itself from the gr asping plants and is no longer Restrained by them."
Enthrall,2nd,Enchantment,Action,60 feet,"V, S","Concentration , up to 1 minute","You wea ve a distr acting string of wor ds, causing creatures of your choice that you can see within range to make a Wisdom sa ving throw. Any creature you or your companions are fighting aut omatically succeeds on this sa ve. On a failed sa ve, a target has a -10 penalty to Wisdom ( Perception ) checks and Passiv e Perception until the spell ends."
Etherealness,7th,Conjuration,Action,Self,"V, S",Up to 8 hours,"You step into the bor der r egions of the Ethereal Plane, wher e it o verlaps with your curr ent plane. you remain in the Border Ethereal for the dur ation. During this time, you can mo ve in any dir ection. If you mo ve up or down, e very foot of movement costs an extr a foot. you can per ceive the plane you left, which looks gr ay, and you can ’t see anything there more than 60 feet awa y. While on the Ethereal Plane, you can aff ect and be affected only by creatures, objects, and effects on that plane. Creatures that ar en’t on the Ethereal Plane can ’t per ceive or inter act with you unless a f eatur e giv es them the ability to do so. When the spell ends, you return to the plane you left in the spot that corresponds to your space in the Bor der Ethereal. If you appear in an occupied space, you are shunted to the near est unoccupied space and take Force damage equal to twice the number of feet you are mo ved. This spell ends instantly if you cast it while you are on the Ethereal Plane or a plane that doesn ’t bor der it, such as one of the Outer Planes. Using a Higher-Le vel Spell Slot. You can target up to thr ee willing creatures (including y ourself ) for each spell slot le vel above 7. The creatures must be within 10 feet of you when you cast the spell."
Evard's Black Tentacles,4th,Conjuration,Action,90 feet,"V, S, M (a tentacle)","Concentration , up to 1 minute","Squirming, ebony tentacles fill a 20-foot squar e on gr ound that you can see within range. for the dur ation, these tentacles turn the gr ound in that area into Diﬃcult Terrain. Each creature in that area mak es a Strength saving throw. On a failed sa ve, it takes 3d6 Bludgeoning damage, and it has the Restrained condition until the spell ends. A creature also mak es that sa ve if it enters the area or ends it turn there. A creature mak es that sa ve only once per turn. A Restrained creature can take an action to make a Strength ( Athletics ) check against your spell sa ve DC, ending the condition on itself on a success."
Expeditious Retreat,1st,Transmutation,Bonus Action,Self,"V, S","Concentration , up to 10 minutes","You take the Dash action, and until the spell ends, you can take that action again as a Bonus Action."
